System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:32:25:959, 158476264080718,    0.110,   46.000, 3200,  48.230,   5.313,   1.476,  29.346,   3.233,   0.898, 94,  0,   3.515,   0.387,   0.108,   6.567,   0.723,   0.201,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:26:068, 158476504671808,    0.219,   55.000, 3100,  47.826,  10.525,   2.924,  28.399,   6.327,   1.758, 93,  0,   3.731,   0.794,   0.221,   6.883,   1.473,   0.409,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:26:175, 158476740791192,    0.326,   62.000, 3000,  48.785,  15.742,   4.373,  29.430,   9.475,   2.632, 97,  0,   3.927,   1.214,   0.337,   6.758,   2.196,   0.610,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:26:318, 158477058003678,    0.470,   94.000, 2900,  48.649,  22.731,   6.314,  29.344,  13.690,   3.803, 96,  0,   3.971,   1.784,   0.496,   6.561,   3.139,   0.872,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:26:447, 158477342249517,    0.598,   77.000, 2800,  45.395,  28.575,   7.937,  26.720,  17.130,   4.758, 90,  0,   3.804,   2.274,   0.632,   6.350,   3.956,   1.099,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:26:556, 158477581991701,    0.707,   65.000, 2900,  43.241,  33.270,   9.242,  23.772,  19.711,   5.475, 90,  0,   4.018,   2.710,   0.753,   6.690,   4.683,   1.301,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:26:681, 158477857784500,    0.832,   42.000, 3000,  40.083,  38.276,  10.632,  20.699,  22.297,   6.193, 87,  0,   3.702,   3.173,   0.881,   6.799,   5.532,   1.537,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:26:703, 158477907183947,    0.854,   22.000, 3100,  31.275,  38.976,  10.827,  14.721,  22.626,   6.285, 87,  0,   2.496,   3.228,   0.897,   5.271,   5.650,   1.569,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.854325
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 38.976013
Cumulative Processor Energy_0 (mWh) = 10.826670
Average Processor Power_0 (Watt) = 45.622012

Cumulative IA Energy_0 (Joules) = 22.625916
Cumulative IA Energy_0 (mWh) = 6.284977
Average IA Power_0 (Watt) = 26.483976

Cumulative DRAM Energy_0 (Joules) = 3.228455
Cumulative DRAM Energy_0 (mWh) = 0.896793
Average DRAM Power_0 (Watt) = 3.778955

Cumulative GT Energy_0 (Joules) = 5.649780
Cumulative GT Energy_0 (mWh) = 1.569383
Average GT Power_0 (Watt) = 6.613153
