System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:29:18:635, 158062649865405,    0.105,   41.000, 3100,  41.812,   4.403,   1.223,  23.051,   2.427,   0.674, 89,  0,   3.316,   0.349,   0.097,   6.556,   0.690,   0.192,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:18:757, 158062919330780,    0.227,   51.000, 3100,  45.947,  10.010,   2.781,  26.695,   5.685,   1.579, 90,  0,   3.648,   0.794,   0.221,   6.803,   1.521,   0.422,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:18:879, 158063189585811,    0.350,   46.000, 3100,  45.213,  15.544,   4.318,  25.967,   8.864,   2.462, 91,  0,   3.635,   1.239,   0.344,   6.861,   2.360,   0.656,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:19:003, 158063463123367,    0.474,   52.000, 3000,  44.554,  21.064,   5.851,  25.239,  11.990,   3.331, 89,  0,   3.657,   1.692,   0.470,   6.820,   3.205,   0.890,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:19:127, 158063736992587,    0.598,   51.000, 3100,  45.443,  26.701,   7.417,  26.033,  15.219,   4.228, 90,  0,   3.718,   2.153,   0.598,   6.928,   4.065,   1.129,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:19:251, 158064010667445,    0.722,   51.000, 3000,  43.850,  32.136,   8.927,  24.368,  18.240,   5.067, 89,  0,   3.635,   2.604,   0.723,   6.894,   4.919,   1.366,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:19:360, 158064251865979,    0.831,   49.000, 3100,  45.317,  37.086,  10.302,  26.222,  21.104,   5.862, 90,  0,   3.630,   3.000,   0.833,   6.744,   5.656,   1.571,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:19:468, 158064490132332,    0.939,   56.000, 3000,  47.504,  42.212,  11.726,  28.294,  24.157,   6.710, 93,  0,   3.660,   3.395,   0.943,   6.770,   6.386,   1.774,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:19:591, 158064762482285,    1.062,   54.000, 3000,  44.096,  47.651,  13.236,  24.616,  27.194,   7.554, 89,  0,   3.588,   3.838,   1.066,   6.737,   7.217,   2.005,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:19:701, 158065003812321,    1.171,   47.000, 3000,  43.551,  52.411,  14.559,  24.286,  29.848,   8.291, 90,  0,   3.666,   4.239,   1.177,   6.915,   7.973,   2.215,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:19:838, 158065307744102,    1.309,   78.000, 2900,  47.630,  58.967,  16.380,  28.193,  33.729,   9.369, 90,  0,   3.878,   4.773,   1.326,   6.725,   8.899,   2.472,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:19:949, 158065551719386,    1.420,   66.000, 2900,  44.306,  63.863,  17.740,  25.214,  36.515,  10.143, 90,  0,   3.824,   5.195,   1.443,   6.716,   9.641,   2.678,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:20:086, 158065854886020,    1.557,   56.000, 3000,  43.912,  69.892,  19.415,  24.738,  39.911,  11.086, 89,  0,   3.627,   5.693,   1.581,   6.780,  10.572,   2.937,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:29:20:091, 158065865993275,    1.562,   48.000, 3000,  43.388,  70.111,  19.475,  24.885,  40.036,  11.121, 89,  0,   3.543,   5.711,   1.586,   5.763,  10.601,   2.945,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.561881
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 70.110657
Cumulative Processor Energy_0 (mWh) = 19.475182
Average Processor Power_0 (Watt) = 44.888613

Cumulative IA Energy_0 (Joules) = 40.036499
Cumulative IA Energy_0 (mWh) = 11.121250
Average IA Power_0 (Watt) = 25.633520

Cumulative DRAM Energy_0 (Joules) = 5.710876
Cumulative DRAM Energy_0 (mWh) = 1.586355
Average DRAM Power_0 (Watt) = 3.656410

Cumulative GT Energy_0 (Joules) = 10.600769
Cumulative GT Energy_0 (mWh) = 2.944658
Average GT Power_0 (Watt) = 6.787182
