System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:43:01:730, 159880050884721,    0.105,   38.000, 3300,  49.187,   5.167,   1.435,  30.027,   3.154,   0.876, 94,  0,   3.442,   0.362,   0.100,   6.684,   0.702,   0.195,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:01:855, 159880326475623,    0.230,   47.000, 3200,  47.828,  11.136,   3.093,  28.543,   6.717,   1.866, 90,  0,   3.678,   0.821,   0.228,   6.727,   1.542,   0.428,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:01:963, 159880565089861,    0.338,   45.000, 3200,  46.446,  16.156,   4.488,  27.034,   9.638,   2.677, 89,  0,   3.696,   1.220,   0.339,   6.953,   2.293,   0.637,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:02:086, 159880838479890,    0.462,   56.000, 3100,  49.456,  22.279,   6.189,  30.111,  13.366,   3.713, 95,  0,   3.809,   1.692,   0.470,   6.759,   3.130,   0.869,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:02:240, 159881176993951,    0.615,   72.000, 3000,  46.707,  29.440,   8.178,  27.926,  17.648,   4.902, 92,  0,   3.590,   2.242,   0.623,   6.363,   4.106,   1.140,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:02:364, 159881449648808,    0.739,   49.000, 3000,  43.875,  34.858,   9.683,  24.412,  20.662,   5.740, 88,  0,   3.689,   2.698,   0.749,   6.819,   4.948,   1.374,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:02:487, 159881722356212,    0.862,   37.000, 3100,  41.892,  40.032,  11.120,  22.882,  23.489,   6.525, 87,  0,   3.544,   3.135,   0.871,   6.752,   5.782,   1.606,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:02:610, 159881995420729,    0.986,   47.000, 3100,  44.341,  45.515,  12.643,  25.101,  26.593,   7.387, 90,  0,   3.584,   3.578,   0.994,   6.646,   6.604,   1.834,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:02:720, 159882236990011,    1.095,   65.000, 3000,  48.637,  50.837,  14.121,  29.797,  29.853,   8.292, 94,  0,   3.855,   4.000,   1.111,   6.470,   7.311,   2.031,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:02:843, 159882510065282,    1.219,   78.000, 2900,  47.361,  56.694,  15.748,  27.951,  33.310,   9.253, 92,  0,   4.112,   4.509,   1.252,   6.602,   8.128,   2.258,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:02:954, 159882753361540,    1.329,   62.000, 2900,  44.614,  61.610,  17.114,  25.559,  36.126,  10.035, 88,  0,   3.831,   4.931,   1.370,   6.576,   8.853,   2.459,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:03:078, 159883026738478,    1.453,   63.000, 2900,  45.153,  67.201,  18.667,  25.703,  39.308,  10.919, 90,  0,   3.934,   5.418,   1.505,   6.786,   9.693,   2.692,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:03:201, 159883298572569,    1.576,   47.000, 3000,  42.144,  72.389,  20.108,  22.871,  42.124,  11.701, 90,  0,   3.643,   5.867,   1.630,   6.830,  10.534,   2.926,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:03:324, 159883570323766,    1.699,   44.000, 3100,  42.679,  77.642,  21.567,  23.453,  45.010,  12.503, 87,  0,   3.627,   6.313,   1.754,   6.804,  11.371,   3.159,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:43:03:447, 159883842186451,    1.822,   50.000, 3100,  45.144,  83.200,  23.111,  25.915,  48.201,  13.389, 92,  0,   3.697,   6.768,   1.880,   6.709,  12.197,   3.388,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
