System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:38:138, 160887803978163,    0.126,   46.000, 3000,  44.960,   5.685,   1.579,  26.805,   3.389,   0.941, 97,  0,   3.181,   0.402,   0.112,   6.035,   0.763,   0.212,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:38:278, 160888112822855,    0.266,   38.000, 3400,  41.709,  11.519,   3.200,  23.608,   6.691,   1.859, 92,  0,   2.784,   0.792,   0.220,   5.923,   1.592,   0.442,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:38:387, 160888352965774,    0.375,   28.000, 3500,  41.341,  16.015,   4.449,  23.215,   9.216,   2.560, 87,  0,   2.703,   1.086,   0.302,   5.901,   2.233,   0.620,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:38:496, 160888593818724,    0.484,   38.000, 3400,  48.435,  21.299,   5.916,  30.343,  12.526,   3.480, 88,  0,   3.063,   1.420,   0.394,   5.932,   2.880,   0.800,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:38:618, 160888863864579,    0.606,   31.000, 3500,  42.263,  26.467,   7.352,  24.265,  15.494,   4.304, 87,  0,   2.797,   1.762,   0.489,   5.921,   3.605,   1.001,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:38:728, 160889105406234,    0.716,   27.000, 3600,  41.891,  31.050,   8.625,  24.026,  18.122,   5.034, 92,  0,   2.782,   2.066,   0.574,   5.900,   4.250,   1.181,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:38:868, 160889415026163,    0.856,   53.000, 3400,  50.948,  38.194,  10.610,  32.607,  22.695,   6.304, 96,  0,   2.942,   2.479,   0.689,   5.999,   5.091,   1.414,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:38:991, 160889686150940,    0.979,   46.000, 3700,  48.579,  44.160,  12.267,  30.203,  26.403,   7.334, 91,  0,   3.226,   2.875,   0.799,   5.993,   5.827,   1.619,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:39:098, 160889923530357,    1.086,   49.000, 3400,  50.172,  49.553,  13.765,  32.090,  29.853,   8.293, 93,  0,   3.249,   3.224,   0.896,   5.983,   6.470,   1.797,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:39:100, 160889928651617,    1.089,   49.000, 3300,  43.683,  49.655,  13.793,  32.210,  29.928,   8.313, 94,  0,   3.474,   3.232,   0.898,   5.052,   6.482,   1.801,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.088701
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 49.654785
Cumulative Processor Energy_0 (mWh) = 13.792996
Average Processor Power_0 (Watt) = 45.609183

Cumulative IA Energy_0 (Joules) = 29.927856
Cumulative IA Energy_0 (mWh) = 8.313293
Average IA Power_0 (Watt) = 27.489497

Cumulative DRAM Energy_0 (Joules) = 3.232117
Cumulative DRAM Energy_0 (mWh) = 0.897810
Average DRAM Power_0 (Watt) = 2.968781

Cumulative GT Energy_0 (Joules) = 6.481934
Cumulative GT Energy_0 (mWh) = 1.800537
Average GT Power_0 (Watt) = 5.953821
