System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:32:763, 160875935721347,    0.105,   40.000, 3700,  50.297,   5.301,   1.473,  32.187,   3.392,   0.942, 93,  0,   3.282,   0.346,   0.096,   6.013,   0.634,   0.176,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:32:916, 160876273576889,    0.258,   67.000, 3000,  49.621,  12.894,   3.582,  31.122,   8.154,   2.265, 97,  0,   3.547,   0.889,   0.247,   5.979,   1.549,   0.430,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:33:026, 160876514539532,    0.368,   42.000, 3100,  47.066,  18.030,   5.008,  28.884,  11.307,   3.141, 95,  0,   3.243,   1.243,   0.345,   5.920,   2.195,   0.610,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:33:166, 160876824871089,    0.508,   46.000, 3300,  48.328,  24.823,   6.895,  30.496,  15.593,   4.331, 97,  0,   3.036,   1.669,   0.464,   5.520,   2.971,   0.825,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:33:292, 160877102004931,    0.634,   27.000, 3500,  39.756,  29.813,   8.281,  22.708,  18.443,   5.123, 88,  0,   2.606,   1.996,   0.555,   5.097,   3.610,   1.003,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:33:417, 160877379983712,    0.759,   32.000, 3600,  44.135,  35.369,   9.825,  26.860,  21.825,   6.062, 88,  0,   2.797,   2.349,   0.652,   5.091,   4.251,   1.181,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:33:524, 160877615998557,    0.866,   28.000, 3600,  43.760,  40.047,  11.124,  26.633,  24.671,   6.853, 92,  0,   2.634,   2.630,   0.731,   5.057,   4.792,   1.331,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:33:647, 160877887236997,    0.989,   21.000, 3800,  41.476,  45.142,  12.539,  24.961,  27.738,   7.705, 91,  0,   2.591,   2.948,   0.819,   4.497,   5.344,   1.485,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:33:831, 160878293653217,    1.173,   31.000, 2900,  42.175,  52.905,  14.696,  25.382,  32.410,   9.003, 88,  0,   2.786,   3.461,   0.961,   4.637,   6.198,   1.722,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:33:832, 160878296199373,    1.174,   23.000, 2900,  32.499,  52.942,  14.706,  19.743,  32.432,   9.009, 88,  0,   2.911,   3.465,   0.962,   4.869,   6.203,   1.723,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.174450
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 52.942017
Cumulative Processor Energy_0 (mWh) = 14.706116
Average Processor Power_0 (Watt) = 45.078129

Cumulative IA Energy_0 (Joules) = 32.432312
Cumulative IA Energy_0 (mWh) = 9.008976
Average IA Power_0 (Watt) = 27.614889

Cumulative DRAM Energy_0 (Joules) = 3.464661
Cumulative DRAM Energy_0 (mWh) = 0.962406
Average DRAM Power_0 (Watt) = 2.950028

Cumulative GT Energy_0 (Joules) = 6.203430
Cumulative GT Energy_0 (mWh) = 1.723175
Average GT Power_0 (Watt) = 5.281987
