System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:31:477, 160873094983593,    0.113,   38.000, 3400,  46.769,   5.302,   1.473,  28.466,   3.227,   0.896, 91,  0,   3.111,   0.353,   0.098,   6.058,   0.687,   0.191,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:31:583, 160873329826058,    0.220,   23.000, 3500,  39.417,   9.494,   2.637,  21.180,   5.480,   1.522, 90,  0,   2.586,   0.628,   0.174,   5.919,   1.316,   0.366,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:31:693, 160873571247955,    0.329,   27.000, 3600,  42.141,  14.102,   3.917,  24.300,   8.137,   2.260, 86,  0,   2.650,   0.918,   0.255,   5.901,   1.961,   0.545,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:31:802, 160873813531413,    0.439,   27.000, 3600,  47.164,  19.277,   5.355,  28.991,  11.318,   3.144, 91,  0,   3.011,   1.248,   0.347,   5.967,   2.616,   0.727,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:31:974, 160874192536593,    0.610,   52.000, 3300,  50.526,  27.950,   7.764,  32.428,  16.884,   4.690, 90,  0,   3.188,   1.795,   0.499,   5.949,   3.637,   1.010,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:32:112, 160874498879167,    0.749,   48.000, 3200,  48.683,  34.704,   9.640,  30.457,  21.110,   5.864, 93,  0,   3.149,   2.232,   0.620,   5.930,   4.460,   1.239,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:32:251, 160874803354028,    0.887,   39.000, 3200,  42.314,  40.539,  11.261,  24.217,  24.449,   6.791, 91,  0,   2.845,   2.624,   0.729,   5.946,   5.280,   1.467,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:32:359, 160875041777891,    0.995,   41.000, 3400,  49.483,  45.883,  12.745,  31.188,  27.817,   7.727, 91,  0,   3.057,   2.954,   0.821,   5.945,   5.922,   1.645,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:32:483, 160875316198741,    1.119,   36.000, 2200,  41.687,  51.064,  14.184,  23.606,  30.751,   8.542, 86,  0,   2.820,   3.305,   0.918,   5.961,   6.663,   1.851,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:32:484, 160875318460667,    1.120,   19.000, 2200,  22.104,  51.086,  14.191,  10.009,  30.761,   8.545, 87,  0,   2.204,   3.307,   0.919,   5.005,   6.668,   1.852,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.120371
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 51.086243
Cumulative Processor Energy_0 (mWh) = 14.190623
Average Processor Power_0 (Watt) = 45.597631

Cumulative IA Energy_0 (Joules) = 30.761108
Cumulative IA Energy_0 (mWh) = 8.544752
Average IA Power_0 (Watt) = 27.456192

Cumulative DRAM Energy_0 (Joules) = 3.307251
Cumulative DRAM Energy_0 (mWh) = 0.918681
Average DRAM Power_0 (Watt) = 2.951926

Cumulative GT Energy_0 (Joules) = 6.667969
Cumulative GT Energy_0 (mWh) = 1.852214
Average GT Power_0 (Watt) = 5.951574
