System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:48:40:327, 160627674544753,    0.123,   50.000, 3000,  49.702,   6.096,   1.693,  31.141,   3.820,   1.061, 96,  0,   3.106,   0.381,   0.106,   6.047,   0.742,   0.206,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:40:432, 160627907076357,    0.228,   40.000, 2700,  51.141,  11.482,   3.189,  33.656,   7.364,   2.046, 98,  0,   2.428,   0.637,   0.177,   5.634,   1.335,   0.371,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:40:553, 160628174148001,    0.349,   36.000, 3100,  48.055,  17.294,   4.804,  30.393,  11.040,   3.067, 95,  0,   2.538,   0.944,   0.262,   5.650,   2.018,   0.561,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:40:677, 160628447695519,    0.473,   25.000, 3700,  46.718,  23.082,   6.412,  29.317,  14.672,   4.076, 96,  0,   2.151,   1.210,   0.336,   5.624,   2.715,   0.754,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:40:798, 160628716107412,    0.594,   21.000, 3800,  42.094,  28.199,   7.833,  24.551,  17.657,   4.905, 88,  0,   1.957,   1.448,   0.402,   5.523,   3.387,   0.941,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:40:907, 160628955992967,    0.703,   20.000, 3900,  41.704,  32.730,   9.092,  24.918,  20.364,   5.657, 88,  0,   2.002,   1.666,   0.463,   5.236,   3.955,   1.099,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:41:029, 160629225423739,    0.825,   24.000, 3900,  41.374,  37.779,  10.494,  24.787,  23.388,   6.497, 93,  0,   2.197,   1.934,   0.537,   4.632,   4.521,   1.256,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:41:184, 160629566600129,    0.980,   25.000, 3600,  48.215,  45.229,  12.564,  31.232,  28.214,   7.837, 98,  0,   2.596,   2.335,   0.649,   4.824,   5.266,   1.463,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:41:208, 160629621514727,    1.004,  177.000, 3500,  37.396,  46.159,  12.822,  20.769,  28.731,   7.981, 95,  0,   2.577,   2.399,   0.666,   4.658,   5.382,   1.495,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.004429
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 46.158936
Cumulative Processor Energy_0 (mWh) = 12.821927
Average Processor Power_0 (Watt) = 45.955383

Cumulative IA Energy_0 (Joules) = 28.730835
Cumulative IA Energy_0 (mWh) = 7.980787
Average IA Power_0 (Watt) = 28.604137

Cumulative DRAM Energy_0 (Joules) = 2.398804
Cumulative DRAM Energy_0 (mWh) = 0.666334
Average DRAM Power_0 (Watt) = 2.388225

Cumulative GT Energy_0 (Joules) = 5.381775
Cumulative GT Energy_0 (mWh) = 1.494937
Average GT Power_0 (Watt) = 5.358042
