System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:48:49:542, 160648021900899,    0.105,   41.000, 3200,  43.725,   4.573,   1.270,  25.215,   2.637,   0.733, 89,  0,   3.176,   0.332,   0.092,   6.538,   0.684,   0.190,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:49:664, 160648291868015,    0.227,   35.000, 3200,  42.109,   9.722,   2.701,  23.845,   5.553,   1.542, 86,  0,   2.828,   0.678,   0.188,   6.099,   1.430,   0.397,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:49:771, 160648527690803,    0.334,   15.000, 3600,  33.751,  13.327,   3.702,  16.554,   7.321,   2.034, 91,  0,   1.698,   0.859,   0.239,   5.439,   2.010,   0.558,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:49:878, 160648763530591,    0.440,   24.000, 3600,  44.946,  18.127,   5.035,  27.541,  10.263,   2.851, 88,  0,   2.321,   1.107,   0.308,   5.457,   2.593,   0.720,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:50:031, 160649100701252,    0.593,   16.000, 3900,  37.141,  23.799,   6.611,  20.092,  13.331,   3.703, 85,  0,   1.652,   1.359,   0.378,   5.332,   3.408,   0.947,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:50:152, 160649368481477,    0.714,   29.000, 3900,  46.489,  29.437,   8.177,  29.213,  16.874,   4.687, 90,  0,   2.387,   1.649,   0.458,   5.514,   4.076,   1.132,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:50:307, 160649711052253,    0.870,   31.000, 3400,  50.036,  37.200,  10.333,  32.837,  21.968,   6.102, 96,  0,   2.239,   1.996,   0.555,   5.340,   4.905,   1.362,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:50:447, 160650020510323,    1.010,   31.000, 3600,  47.480,  43.854,  12.182,  30.326,  26.219,   7.283, 98,  0,   2.121,   2.294,   0.637,   5.419,   5.664,   1.573,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:50:449, 160650024677149,    1.012,   17.000, 3600,  63.812,  43.975,  12.215,  40.525,  26.295,   7.304, 98,  0,   3.849,   2.301,   0.639,   6.145,   5.676,   1.577,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.011647
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.974854
Cumulative Processor Energy_0 (mWh) = 12.215237
Average Processor Power_0 (Watt) = 43.468557

Cumulative IA Energy_0 (Joules) = 26.294983
Cumulative IA Energy_0 (mWh) = 7.304162
Average IA Power_0 (Watt) = 25.992240

Cumulative DRAM Energy_0 (Joules) = 2.300903
Cumulative DRAM Energy_0 (mWh) = 0.639140
Average DRAM Power_0 (Watt) = 2.274412

Cumulative GT Energy_0 (Joules) = 5.675903
Cumulative GT Energy_0 (mWh) = 1.576640
Average GT Power_0 (Watt) = 5.610555
