System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:19:06:317, 156710647515528,    0.114,   43.000, 3400,  51.851,   5.928,   1.647,  32.928,   3.765,   1.046, 96,  0,   3.470,   0.397,   0.110,   6.670,   0.763,   0.212,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:06:442, 156710923900099,    0.239,   54.000, 3300,  51.894,  12.424,   3.451,  32.479,   7.830,   2.175, 95,  0,   3.808,   0.873,   0.243,   6.937,   1.631,   0.453,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:06:567, 156711199121044,    0.364,   48.000, 3700,  52.565,  18.976,   5.271,  32.989,  11.942,   3.317, 94,  0,   3.639,   1.327,   0.369,   6.915,   2.493,   0.692,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:06:675, 156711438293978,    0.472,   41.000, 3400,  51.852,  24.592,   6.831,  32.795,  15.494,   4.304, 96,  0,   3.541,   1.710,   0.475,   6.726,   3.221,   0.895,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:06:784, 156711678632091,    0.581,   41.000, 3400,  52.275,  30.282,   8.412,  32.949,  19.081,   5.300, 96,  0,   3.544,   2.096,   0.582,   6.794,   3.961,   1.100,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:06:892, 156711917138383,    0.689,   40.000, 3400,  52.011,  35.901,   9.972,  32.799,  22.624,   6.284, 95,  0,   3.561,   2.481,   0.689,   6.788,   4.694,   1.304,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:07:017, 156712192974257,    0.814,   49.000, 3400,  51.180,  42.294,  11.748,  31.620,  26.574,   7.382, 94,  0,   3.760,   2.951,   0.820,   6.986,   5.567,   1.546,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:07:142, 156712469295714,    0.939,   52.000, 3400,  51.985,  48.800,  13.556,  32.520,  30.644,   8.512, 95,  0,   3.730,   3.417,   0.949,   6.984,   6.441,   1.789,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:07:267, 156712744990902,    1.064,   47.000, 3400,  52.350,  55.336,  15.371,  32.845,  34.745,   9.651, 95,  0,   3.708,   3.880,   1.078,   6.904,   7.303,   2.029,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:07:389, 156713014959158,    1.187,   44.000, 3400,  51.308,  61.610,  17.114,  32.005,  38.658,  10.738, 95,  0,   3.599,   4.320,   1.200,   6.898,   8.146,   2.263,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:07:512, 156713287166623,    1.310,   62.000, 3300,  52.376,  68.067,  18.907,  33.047,  42.732,  11.870, 95,  0,   3.991,   4.813,   1.337,   6.831,   8.988,   2.497,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:07:620, 156713524879826,    1.417,   33.000, 2200,  43.662,  72.768,  20.213,  24.692,  45.391,  12.608, 87,  0,   3.050,   5.141,   1.428,   6.397,   9.677,   2.688,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:07:621, 156713527040131,    1.418,   20.000, 2200,  25.577,  72.793,  20.220,  11.104,  45.401,  12.611, 87,  0,   1.871,   5.143,   1.429,   5.427,   9.682,   2.690,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.418454
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 72.792542
Cumulative Processor Energy_0 (mWh) = 20.220150
Average Processor Power_0 (Watt) = 51.318236

Cumulative IA Energy_0 (Joules) = 45.401367
Cumulative IA Energy_0 (mWh) = 12.611491
Average IA Power_0 (Watt) = 32.007649

Cumulative DRAM Energy_0 (Joules) = 5.142639
Cumulative DRAM Energy_0 (mWh) = 1.428511
Average DRAM Power_0 (Watt) = 3.625525

Cumulative GT Energy_0 (Joules) = 9.682495
Cumulative GT Energy_0 (mWh) = 2.689582
Average GT Power_0 (Watt) = 6.826092
