System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:19:04:589, 156706833004767,    0.114,   45.000, 3100,  51.355,   5.857,   1.627,  32.191,   3.671,   1.020, 96,  0,   3.607,   0.411,   0.114,   6.775,   0.773,   0.215,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:04:730, 156707144334234,    0.255,   82.000, 3500,  50.593,  12.990,   3.608,  31.525,   8.116,   2.254, 94,  0,   3.789,   0.946,   0.263,   6.559,   1.697,   0.471,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:04:838, 156707383471857,    0.363,   51.000, 3300,  54.969,  18.944,   5.262,  34.980,  11.905,   3.307, 96,  0,   3.866,   1.364,   0.379,   7.061,   2.462,   0.684,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:04:964, 156707659855002,    0.489,   52.000, 3500,  51.097,  25.340,   7.039,  32.058,  15.917,   4.422, 94,  0,   3.553,   1.809,   0.503,   6.638,   3.293,   0.915,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:05:073, 156707900736858,    0.598,   47.000, 3200,  51.508,  30.959,   8.600,  32.255,  19.436,   5.399, 96,  0,   3.676,   2.210,   0.614,   6.763,   4.031,   1.120,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:05:182, 156708142589178,    0.707,   55.000, 3100,  49.381,  36.368,  10.102,  30.394,  22.765,   6.324, 94,  0,   3.759,   2.622,   0.728,   6.629,   4.757,   1.321,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:05:290, 156708379601014,    0.814,   51.000, 3400,  51.684,  41.916,  11.643,  32.048,  26.206,   7.279, 95,  0,   3.810,   3.031,   0.842,   6.882,   5.496,   1.527,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:05:414, 156708654323453,    0.939,   56.000, 3100,  52.105,  48.398,  13.444,  32.644,  30.267,   8.408, 97,  0,   3.861,   3.511,   0.975,   6.961,   6.362,   1.767,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:05:523, 156708894927629,    1.048,   56.000, 3100,  51.861,  54.050,  15.014,  32.323,  33.789,   9.386, 95,  0,   3.935,   3.940,   1.094,   6.935,   7.117,   1.977,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:05:632, 156709135433987,    1.157,   50.000, 3300,  52.068,  59.721,  16.589,  32.736,  37.355,  10.376, 96,  0,   3.754,   4.349,   1.208,   6.809,   7.859,   2.183,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:05:743, 156709379695766,    1.267,   47.000, 3300,  51.385,  65.406,  18.168,  31.761,  40.869,  11.352, 96,  0,   3.693,   4.757,   1.321,   6.928,   8.626,   2.396,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:05:853, 156709624130038,    1.378,   31.000, 3000,  50.480,  70.994,  19.721,  31.164,  44.319,  12.311, 96,  0,   3.765,   5.174,   1.437,   6.976,   9.398,   2.610,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:19:05:998, 156709943397789,    1.523,  847.000, 3900,  51.877,  78.495,  21.804,  32.438,  49.009,  13.614, 89,  0,   3.538,   5.686,   1.579,   6.874,  10.392,   2.887,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.522730
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 78.495117
Cumulative Processor Energy_0 (mWh) = 21.804199
Average Processor Power_0 (Watt) = 51.548950

Cumulative IA Energy_0 (Joules) = 49.009155
Cumulative IA Energy_0 (mWh) = 13.613654
Average IA Power_0 (Watt) = 32.185065

Cumulative DRAM Energy_0 (Joules) = 5.685608
Cumulative DRAM Energy_0 (mWh) = 1.579336
Average DRAM Power_0 (Watt) = 3.733826

Cumulative GT Energy_0 (Joules) = 10.391785
Cumulative GT Energy_0 (mWh) = 2.886607
Average GT Power_0 (Watt) = 6.824445
