System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:25:41:558, 181429822400929,    0.115,   32.000, 3900,  36.866,   4.227,   1.174,  31.444,   3.606,   1.002, 97,  0,   2.320,   0.266,   0.074,   4.066,   0.466,   0.130,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:41:698, 181430132279747,    0.255,   19.000, 3600,  33.971,   8.995,   2.499,  28.660,   7.628,   2.119, 98,  0,   1.980,   0.544,   0.151,   3.636,   0.977,   0.271,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:41:864, 181430499760164,    0.421,   29.000, 3900,  33.362,  14.547,   4.041,  28.418,  12.357,   3.433, 81,  0,   1.961,   0.870,   0.242,   3.398,   1.542,   0.428,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:41:982, 181430758440309,    0.539,   21.000, 3900,  33.002,  18.414,   5.115,  28.105,  15.650,   4.347, 91,  0,   1.748,   1.075,   0.299,   3.360,   1.936,   0.538,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:42:091, 181430999951061,    0.648,   33.000, 3700,  45.483,  23.388,   6.497,  40.411,  20.070,   5.575, 90,  0,   2.364,   1.334,   0.370,   3.369,   2.304,   0.640,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:42:241, 181431330971828,    0.798,   18.000, 3900,  28.211,  27.618,   7.672,  23.839,  23.644,   6.568, 80,  0,   1.764,   1.598,   0.444,   2.901,   2.739,   0.761,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:42:349, 181431568930008,    0.906,   13.000, 3900,  22.136,  30.003,   8.334,  17.868,  25.570,   7.103, 90,  0,   1.748,   1.786,   0.496,   2.917,   3.053,   0.848,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:42:464, 181431824030339,    1.021,   18.000, 3900,  28.356,  33.280,   9.244,  23.966,  28.339,   7.872, 81,  0,   2.095,   2.028,   0.563,   2.853,   3.383,   0.940,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:42:466, 181431830447477,    1.024,   49.000, 3900,  47.399,  33.417,   9.283,  43.157,  28.464,   7.907, 82,  0,   2.583,   2.036,   0.566,   2.835,   3.391,   0.942,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.024103
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 33.417297
Cumulative Processor Energy_0 (mWh) = 9.282583
Average Processor Power_0 (Watt) = 32.630794

Cumulative IA Energy_0 (Joules) = 28.464050
Cumulative IA Energy_0 (mWh) = 7.906681
Average IA Power_0 (Watt) = 27.794126

Cumulative DRAM Energy_0 (Joules) = 2.035950
Cumulative DRAM Energy_0 (mWh) = 0.565542
Average DRAM Power_0 (Watt) = 1.988032

Cumulative GT Energy_0 (Joules) = 3.391296
Cumulative GT Energy_0 (mWh) = 0.942027
Average GT Power_0 (Watt) = 3.311479
