System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:25:38:157, 181422313682175,    0.117,   22.000, 3900,  33.745,   3.948,   1.097,  28.695,   3.357,   0.932, 80,  0,   2.045,   0.239,   0.066,   3.528,   0.413,   0.115,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:38:275, 181422575239245,    0.235,   14.000, 3600,  23.540,   6.736,   1.871,  19.206,   5.632,   1.564, 95,  0,   1.581,   0.426,   0.118,   3.189,   0.790,   0.220,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:38:407, 181422865860331,    0.367,   18.000, 3700,  25.457,  10.087,   2.802,  20.841,   8.375,   2.326, 94,  0,   1.997,   0.689,   0.191,   2.957,   1.180,   0.328,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:38:531, 181423139269403,    0.491,   25.000, 3800,  34.290,  14.333,   3.981,  29.347,  12.009,   3.336, 94,  0,   2.231,   0.966,   0.268,   3.364,   1.596,   0.443,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:38:660, 181423424253919,    0.620,   20.000, 3900,  35.860,  18.961,   5.267,  29.522,  15.819,   4.394, 92,  0,   2.061,   1.232,   0.342,   4.815,   2.218,   0.616,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:38:798, 181423729309721,    0.758,   12.000, 3900,  21.916,  21.989,   6.108,  15.972,  18.026,   5.007, 78,  0,   1.448,   1.432,   0.398,   4.637,   2.858,   0.794,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:38:923, 181424004137446,    0.883,   13.000, 3900,  25.714,  25.190,   6.997,  19.742,  20.483,   5.690, 90,  0,   1.661,   1.638,   0.455,   4.657,   3.438,   0.955,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:39:061, 181424309534271,    1.021,   12.000, 3900,  22.208,  28.261,   7.850,  16.097,  22.710,   6.308, 78,  0,   1.662,   1.868,   0.519,   4.626,   4.078,   1.133,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:39:062, 181424312767355,    1.022,   21.000, 3900,  24.385,  28.297,   7.860,  27.469,  22.750,   6.319, 78,  0,   1.667,   1.871,   0.520,   4.794,   4.085,   1.135,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.022359
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 28.296936
Cumulative Processor Energy_0 (mWh) = 7.860260
Average Processor Power_0 (Watt) = 27.678081

Cumulative IA Energy_0 (Joules) = 22.750000
Cumulative IA Energy_0 (mWh) = 6.319444
Average IA Power_0 (Watt) = 22.252457

Cumulative DRAM Energy_0 (Joules) = 1.870728
Cumulative DRAM Energy_0 (mWh) = 0.519647
Average DRAM Power_0 (Watt) = 1.829815

Cumulative GT Energy_0 (Joules) = 4.084900
Cumulative GT Energy_0 (mWh) = 1.134694
Average GT Power_0 (Watt) = 3.995563
