System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:28:53:379, 158006885918032,    0.111,   57.000, 3000,  45.675,   5.092,   1.415,  26.732,   2.980,   0.828, 91,  0,   3.622,   0.404,   0.112,   6.676,   0.744,   0.207,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:53:502, 158007156462378,    0.234,   54.000, 3000,  44.884,  10.592,   2.942,  25.486,   6.103,   1.695, 90,  0,   3.692,   0.856,   0.238,   6.708,   1.566,   0.435,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:53:628, 158007434720960,    0.360,   52.000, 3000,  43.861,  16.119,   4.478,  24.529,   9.194,   2.554, 90,  0,   3.672,   1.319,   0.366,   6.840,   2.428,   0.675,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:53:737, 158007675658625,    0.469,   59.000, 3000,  45.439,  21.078,   5.855,  26.098,  12.042,   3.345, 92,  0,   3.873,   1.742,   0.484,   6.824,   3.173,   0.881,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:53:859, 158007944788765,    0.591,   61.000, 3000,  45.895,  26.672,   7.409,  26.847,  15.315,   4.254, 90,  0,   3.746,   2.198,   0.611,   6.501,   3.965,   1.101,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:53:966, 158008180686654,    0.698,   48.000, 3000,  43.469,  31.316,   8.699,  24.114,  17.891,   4.970, 89,  0,   3.624,   2.585,   0.718,   6.785,   4.690,   1.303,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:54:075, 158008421927944,    0.807,   47.000, 3000,  43.051,  36.020,  10.005,  23.743,  20.485,   5.690, 88,  0,   3.656,   2.985,   0.829,   6.884,   5.442,   1.512,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:28:54:082, 158008438975123,    0.815,   26.000, 3000,  39.219,  36.322,  10.090,  18.436,  20.627,   5.730, 88,  0,   3.455,   3.011,   0.837,   6.751,   5.494,   1.526,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.814865
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 36.322327
Cumulative Processor Energy_0 (mWh) = 10.089535
Average Processor Power_0 (Watt) = 44.574646

Cumulative IA Energy_0 (Joules) = 20.627258
Cumulative IA Energy_0 (mWh) = 5.729794
Average IA Power_0 (Watt) = 25.313707

Cumulative DRAM Energy_0 (Joules) = 3.011475
Cumulative DRAM Energy_0 (mWh) = 0.836521
Average DRAM Power_0 (Watt) = 3.695672

Cumulative GT Energy_0 (Joules) = 5.494385
Cumulative GT Energy_0 (mWh) = 1.526218
Average GT Power_0 (Watt) = 6.742692
