System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:53:339, 158801680334148,    0.114,   47.000, 3000,  45.940,   5.235,   1.454,  26.879,   3.063,   0.851, 92,  0,   3.542,   0.404,   0.112,   6.608,   0.753,   0.209,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:53:463, 158801953404814,    0.238,   80.000, 2900,  47.329,  11.089,   3.080,  28.723,   6.615,   1.838, 91,  0,   3.735,   0.866,   0.240,   6.308,   1.533,   0.426,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:53:570, 158802190734891,    0.345,   55.000, 3000,  45.120,  15.938,   4.427,  25.455,   9.351,   2.598, 91,  0,   3.919,   1.287,   0.357,   6.891,   2.274,   0.632,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:53:695, 158802466904729,    0.470,   50.000, 3000,  43.803,  21.417,   5.949,  24.468,  12.412,   3.448, 90,  0,   3.654,   1.744,   0.484,   6.877,   3.134,   0.871,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:53:818, 158802736577582,    0.592,   49.000, 3000,  43.958,  26.786,   7.441,  24.581,  15.414,   4.282, 89,  0,   3.627,   2.187,   0.607,   6.934,   3.981,   1.106,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:53:929, 158802981910441,    0.703,   47.000, 3000,  43.737,  31.646,   8.790,  24.573,  18.144,   5.040, 90,  0,   3.594,   2.586,   0.718,   6.734,   4.729,   1.314,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:54:051, 158803252816636,    0.826,   48.000, 3100,  45.000,  37.167,  10.324,  25.607,  21.286,   5.913, 92,  0,   3.636,   3.032,   0.842,   6.829,   5.567,   1.546,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:54:161, 158803494362068,    0.936,   57.000, 3000,  46.696,  42.275,  11.743,  27.593,  24.305,   6.751, 96,  0,   3.740,   3.441,   0.956,   6.777,   6.308,   1.752,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:54:269, 158803734743979,    1.044,   60.000, 3000,  46.320,  47.318,  13.144,  26.798,  27.222,   7.562, 91,  0,   3.829,   3.858,   1.072,   6.905,   7.060,   1.961,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:54:393, 158804007699671,    1.168,   50.000, 3000,  44.617,  52.833,  14.676,  24.963,  30.308,   8.419, 90,  0,   3.717,   4.318,   1.199,   6.951,   7.919,   2.200,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:54:502, 158804246640153,    1.276,   58.000, 3000,  45.054,  57.709,  16.030,  25.858,  33.106,   9.196, 90,  0,   3.750,   4.724,   1.312,   6.805,   8.656,   2.404,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:54:508, 158804259991197,    1.282,   45.000, 3000,  44.535,  57.978,  16.105,  24.841,  33.256,   9.238, 91,  0,   3.785,   4.746,   1.318,   7.318,   8.700,   2.417,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.282279
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 57.978149
Cumulative Processor Energy_0 (mWh) = 16.105042
Average Processor Power_0 (Watt) = 45.214941

Cumulative IA Energy_0 (Joules) = 33.256470
Cumulative IA Energy_0 (mWh) = 9.237908
Average IA Power_0 (Watt) = 25.935448

Cumulative DRAM Energy_0 (Joules) = 4.746460
Cumulative DRAM Energy_0 (mWh) = 1.318461
Average DRAM Power_0 (Watt) = 3.701583

Cumulative GT Energy_0 (Joules) = 8.700012
Cumulative GT Energy_0 (mWh) = 2.416670
Average GT Power_0 (Watt) = 6.784807
