System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:30:15:438, 158188071664185,    0.109,   71.000, 2900,  45.014,   4.914,   1.365,  26.297,   2.871,   0.797, 90,  0,   3.570,   0.390,   0.108,   6.356,   0.694,   0.193,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:15:561, 158188344387167,    0.233,   68.000, 3000,  44.298,  10.385,   2.885,  25.216,   5.985,   1.663, 90,  0,   3.598,   0.834,   0.232,   6.442,   1.490,   0.414,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:15:669, 158188582313326,    0.340,   68.000, 2900,  46.035,  15.346,   4.263,  26.979,   8.892,   2.470, 91,  0,   3.708,   1.234,   0.343,   6.451,   2.185,   0.607,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:15:778, 158188822318491,    0.449,   72.000, 2900,  44.960,  20.233,   5.620,  26.132,  11.733,   3.259, 94,  0,   3.909,   1.658,   0.461,   6.532,   2.895,   0.804,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:15:901, 158189093919101,    0.572,   74.000, 2900,  46.130,  25.907,   7.196,  26.796,  15.029,   4.175, 91,  0,   3.977,   2.148,   0.597,   6.667,   3.715,   1.032,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:16:039, 158189399217443,    0.710,   72.000, 2900,  45.480,  32.195,   8.943,  26.350,  18.672,   5.187, 91,  0,   3.761,   2.668,   0.741,   6.643,   4.633,   1.287,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:16:177, 158189704917729,    0.849,   70.000, 2900,  43.514,  38.220,  10.617,  24.388,  22.049,   6.125, 90,  0,   3.602,   3.166,   0.880,   6.520,   5.536,   1.538,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:16:300, 158189976598138,    0.972,   50.000, 3000,  40.579,  43.213,  12.004,  21.590,  24.705,   6.863, 88,  0,   3.456,   3.592,   0.998,   6.566,   6.344,   1.762,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:16:305, 158189989169031,    0.978,   29.000, 3000,  42.046,  43.452,  12.070,  22.395,  24.833,   6.898, 88,  0,   2.819,   3.608,   1.002,   5.317,   6.374,   1.771,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.977590
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.452209
Cumulative Processor Energy_0 (mWh) = 12.070058
Average Processor Power_0 (Watt) = 44.448293

Cumulative IA Energy_0 (Joules) = 24.832825
Cumulative IA Energy_0 (mWh) = 6.898007
Average IA Power_0 (Watt) = 25.402084

Cumulative DRAM Energy_0 (Joules) = 3.607727
Cumulative DRAM Energy_0 (mWh) = 1.002146
Average DRAM Power_0 (Watt) = 3.690429

Cumulative GT Energy_0 (Joules) = 6.374207
Cumulative GT Energy_0 (mWh) = 1.770613
Average GT Power_0 (Watt) = 6.520327
