System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:21:36:889, 180889591609070,    0.130,   20.000, 3500,  32.612,   4.235,   1.176,  26.287,   3.413,   0.948, 96,  0,   1.784,   0.232,   0.064,   4.779,   0.621,   0.172,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:37:033, 180889910109983,    0.274,   19.000, 3900,  27.984,   8.271,   2.298,  21.793,   6.557,   1.821, 84,  0,   1.838,   0.497,   0.138,   4.821,   1.316,   0.366,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:37:159, 180890187992708,    0.400,   16.000, 3400,  28.314,  11.835,   3.287,  22.312,   9.365,   2.601, 96,  0,   1.411,   0.674,   0.187,   4.706,   1.908,   0.530,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:37:269, 180890430522411,    0.510,   20.000, 3900,  31.833,  15.331,   4.259,  25.820,  12.201,   3.389, 92,  0,   1.466,   0.835,   0.232,   4.692,   2.424,   0.673,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:37:390, 180890699560307,    0.632,   58.000, 3300,  46.695,  21.021,   5.839,  40.067,  17.083,   4.745, 91,  0,   2.814,   1.178,   0.327,   4.952,   3.027,   0.841,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:37:508, 180890959913949,    0.750,   17.000, 3900,  24.842,  23.950,   6.653,  18.600,  19.276,   5.355, 80,  0,   1.458,   1.350,   0.375,   4.985,   3.615,   1.004,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:37:622, 180891211692824,    0.864,   12.000, 3900,  26.634,  26.987,   7.496,  20.293,  21.590,   5.997, 79,  0,   1.516,   1.523,   0.423,   4.948,   4.179,   1.161,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:37:748, 180891489449004,    0.989,    5.000, 3900,  15.671,  28.959,   8.044,   9.471,  22.782,   6.328, 81,  0,   1.178,   1.671,   0.464,   4.882,   4.793,   1.331,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:37:748, 180891501190029,    0.995,    9.000, 3900,  23.243,  29.082,   8.078,  15.783,  22.866,   6.352, 79,  0,   1.963,   1.682,   0.467,   4.890,   4.819,   1.339,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.994699
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 29.082153
Cumulative Processor Energy_0 (mWh) = 8.078376
Average Processor Power_0 (Watt) = 29.237135

Cumulative IA Energy_0 (Joules) = 22.865662
Cumulative IA Energy_0 (mWh) = 6.351573
Average IA Power_0 (Watt) = 22.987515

Cumulative DRAM Energy_0 (Joules) = 1.681702
Cumulative DRAM Energy_0 (mWh) = 0.467139
Average DRAM Power_0 (Watt) = 1.690664

Cumulative GT Energy_0 (Joules) = 4.819153
Cumulative GT Energy_0 (mWh) = 1.338654
Average GT Power_0 (Watt) = 4.844835
