System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:27:22:064, 157805261473582,    0.116,   77.000, 2900,  45.996,   5.314,   1.476,  27.306,   3.155,   0.876, 91,  0,   3.684,   0.426,   0.118,   6.414,   0.741,   0.206,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:22:171, 157805499009040,    0.223,   73.000, 2900,  45.587,  10.218,   2.838,  25.882,   5.939,   1.650, 91,  0,   4.036,   0.860,   0.239,   6.854,   1.478,   0.411,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:22:294, 157805769000627,    0.345,   54.000, 2900,  42.230,  15.382,   4.273,  23.771,   8.846,   2.457, 90,  0,   3.242,   1.256,   0.349,   6.270,   2.245,   0.624,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:22:402, 157806008105455,    0.454,   55.000, 3000,  43.637,  20.108,   5.585,  24.633,  11.513,   3.198, 92,  0,   3.747,   1.662,   0.462,   6.615,   2.961,   0.823,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:22:554, 157806343660518,    0.606,   59.000, 2900,  45.164,  26.971,   7.492,  26.129,  15.484,   4.301, 89,  0,   3.625,   2.213,   0.615,   6.548,   3.956,   1.099,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:22:708, 157806684024499,    0.760,   66.000, 3000,  44.931,  33.897,   9.416,  25.869,  19.472,   5.409, 90,  0,   3.852,   2.807,   0.780,   6.551,   4.966,   1.380,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:22:832, 157806957100665,    0.883,   57.000, 3000,  43.746,  39.308,  10.919,  24.186,  22.463,   6.240, 90,  0,   3.820,   3.279,   0.911,   6.870,   5.816,   1.616,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:27:22:836, 157806965071693,    0.887,   45.000, 3000,  49.368,  39.486,  10.968,  22.943,  22.546,   6.263, 89,  0,   4.785,   3.296,   0.916,   8.758,   5.848,   1.624,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.887093
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 39.485840
Cumulative Processor Energy_0 (mWh) = 10.968289
Average Processor Power_0 (Watt) = 44.511509

Cumulative IA Energy_0 (Joules) = 22.546082
Cumulative IA Energy_0 (mWh) = 6.262800
Average IA Power_0 (Watt) = 25.415696

Cumulative DRAM Energy_0 (Joules) = 3.296448
Cumulative DRAM Energy_0 (mWh) = 0.915680
Average DRAM Power_0 (Watt) = 3.716012

Cumulative GT Energy_0 (Joules) = 5.847595
Cumulative GT Energy_0 (mWh) = 1.624332
Average GT Power_0 (Watt) = 6.591864
