System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
06:02:15:831, 170377140249247,    0.101,   23.000, 3900,  35.267,   3.558,   0.988,  28.831,   2.909,   0.808, 93,  0,   1.997,   0.201,   0.056,   4.950,   0.499,   0.139,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:15:942, 170377386305524,    0.212,   29.000, 3900,  36.879,   7.668,   2.130,  30.284,   6.284,   1.745, 92,  0,   2.387,   0.467,   0.130,   5.186,   1.077,   0.299,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:16:056, 170377637855077,    0.326,   29.000, 3300,  35.269,  11.686,   3.246,  28.488,   9.529,   2.647, 94,  0,   2.342,   0.734,   0.204,   5.020,   1.649,   0.458,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:16:171, 170377892439081,    0.442,   30.000, 3900,  40.404,  16.344,   4.540,  33.932,  13.441,   3.734, 88,  0,   2.429,   1.014,   0.282,   5.057,   2.232,   0.620,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:16:289, 170378151299771,    0.559,   27.000, 3900,  39.220,  20.943,   5.817,  32.359,  17.235,   4.787, 95,  0,   2.350,   1.290,   0.358,   4.941,   2.812,   0.781,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:16:397, 170378390094993,    0.667,   27.000, 3700,  39.674,  25.233,   7.009,  33.156,  20.821,   5.784, 98,  0,   2.333,   1.542,   0.428,   5.033,   3.356,   0.932,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:16:508, 170378636460553,    0.779,   25.000, 3900,  38.589,  29.539,   8.205,  32.258,  24.420,   6.783, 88,  0,   2.331,   1.802,   0.501,   5.014,   3.915,   1.088,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:16:624, 170378892128147,    0.894,   32.000, 3900,  40.852,  34.269,   9.519,  34.120,  28.371,   7.881, 94,  0,   2.452,   2.086,   0.579,   4.979,   4.492,   1.248,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:16:734, 170379135237557,    1.004,   30.000, 3900,  42.365,  38.934,  10.815,  35.762,  32.308,   8.975, 91,  0,   2.440,   2.355,   0.654,   5.022,   5.045,   1.401,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:16:855, 170379402768305,    1.126,   32.000, 3400,  38.830,  43.638,  12.122,  32.165,  36.206,  10.057,100,  0,   2.348,   2.639,   0.733,   5.058,   5.658,   1.572,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:16:988, 170379695470989,    1.258,   31.000, 3600,  38.722,  48.772,  13.548,  31.896,  40.434,  11.232, 96,  0,   2.388,   2.956,   0.821,   5.000,   6.320,   1.756,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:17:108, 170379960985807,    1.378,   28.000, 3300,  38.705,  53.426,  14.841,  32.116,  44.296,  12.304, 95,  0,   2.353,   3.239,   0.900,   5.012,   6.923,   1.923,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:17:243, 170380258905757,    1.513,   59.000, 3300,  40.941,  58.950,  16.375,  34.200,  48.910,  13.586, 95,  0,   2.844,   3.622,   1.006,   4.933,   7.589,   2.108,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:17:354, 170380504419945,    1.625,   31.000, 3000,  35.534,  62.901,  17.473,  28.841,  52.117,  14.477, 95,  0,   2.489,   3.899,   1.083,   5.020,   8.147,   2.263,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:17:459, 170380734689277,    1.729,   31.000, 3100,  33.001,  66.343,  18.429,  26.146,  54.844,  15.234, 96,  0,   2.539,   4.164,   1.157,   5.029,   8.671,   2.409,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:17:576, 170380994437693,    1.846,   29.000, 3900,  40.725,  71.134,  19.759,  34.461,  58.898,  16.361, 93,  0,   2.478,   4.456,   1.238,   4.956,   9.254,   2.571,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:17:681, 170381226052107,    1.951,   36.000, 3100,  36.374,  74.949,  20.819,  29.434,  61.986,  17.218, 94,  0,   2.727,   4.742,   1.317,   4.922,   9.771,   2.714,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:17:829, 170381553303588,    2.100,   35.000, 3900,  39.849,  80.855,  22.460,  33.288,  66.919,  18.589, 91,  0,   2.574,   5.123,   1.423,   4.975,  10.508,   2.919,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:17:945, 170381808683098,    2.215,   27.000, 3900,  38.444,  85.302,  23.695,  31.729,  70.589,  19.608, 94,  0,   2.383,   5.399,   1.500,   4.974,  11.083,   3.079,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:18:067, 170382077031130,    2.337,   28.000, 3900,  37.999,  89.920,  24.978,  31.202,  74.381,  20.661, 92,  0,   2.346,   5.684,   1.579,   5.003,  11.691,   3.248,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:18:178, 170382323497357,    2.448,   28.000, 3900,  40.569,  94.449,  26.236,  34.216,  78.200,  21.722, 95,  0,   2.410,   5.953,   1.654,   4.978,  12.247,   3.402,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:18:288, 170382565559338,    2.558,   41.000, 3500,  41.281,  98.974,  27.493,  34.311,  81.962,  22.767, 96,  0,   2.846,   6.265,   1.740,   5.023,  12.798,   3.555,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:18:404, 170382822503665,    2.674,   31.000, 3900,  41.966, 103.858,  28.849,  35.300,  86.070,  23.908, 95,  0,   2.472,   6.553,   1.820,   5.135,  13.395,   3.721,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:18:522, 170383082912140,    2.792,   29.000, 3900,  36.304, 108.139,  30.039,  29.651,  89.567,  24.880, 96,  0,   2.404,   6.836,   1.899,   5.030,  13.989,   3.886,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:18:626, 170383311837865,    2.896,   35.000, 3300,  44.193, 112.721,  31.311,  37.321,  93.436,  25.954, 98,  0,   2.533,   7.099,   1.972,   4.996,  14.507,   4.030,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:18:741, 170383567198298,    3.012,   59.000, 3700,  38.907, 117.221,  32.561,  32.440,  97.188,  26.997, 93,  0,   2.787,   7.421,   2.061,   4.955,  15.080,   4.189,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:18:860, 170383829361265,    3.130,   55.000, 2900,  39.719, 121.937,  33.871,  32.806, 101.083,  28.079, 95,  0,   2.766,   7.749,   2.153,   4.959,  15.668,   4.352,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:18:988, 170384110747498,    3.258,   51.000, 3100,  37.373, 126.700,  35.194,  30.560, 104.978,  29.160, 98,  0,   2.629,   8.084,   2.246,   4.954,  16.300,   4.528,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:19:113, 170384387533032,    3.383,   26.000, 3900,  37.715, 131.428,  36.508,  31.289, 108.900,  30.250, 93,  0,   2.315,   8.375,   2.326,   4.949,  16.920,   4.700,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:19:215, 170384612400505,    3.485,   35.000, 3900,  40.087, 135.510,  37.642,  33.369, 112.298,  31.194, 93,  0,   2.654,   8.645,   2.401,   4.956,  17.425,   4.840,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:19:342, 170384893089666,    3.612,   55.000, 3300,  39.591, 140.543,  39.040,  32.802, 116.468,  32.352, 93,  0,   2.794,   9.000,   2.500,   4.982,  18.058,   5.016,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:19:466, 170385167901624,    3.737,   29.000, 3900,  37.549, 145.216,  40.338,  31.136, 120.343,  33.429, 95,  0,   2.552,   9.318,   2.588,   4.960,  18.675,   5.188,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:19:581, 170385421359497,    3.851,   30.000, 3800,  39.935, 149.801,  41.611,  33.166, 124.151,  34.486, 95,  0,   2.405,   9.594,   2.665,   5.035,  19.253,   5.348,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:19:692, 170385665169289,    3.962,   29.000, 3900,  37.450, 153.936,  42.760,  30.497, 127.518,  35.422, 88,  0,   2.418,   9.861,   2.739,   5.043,  19.810,   5.503,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:19:805, 170385915150719,    4.075,   28.000, 3900,  38.401, 158.284,  43.968,  31.811, 131.120,  36.422, 94,  0,   2.359,  10.128,   2.813,   5.074,  20.385,   5.662,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:19:916, 170386160631908,    4.186,   26.000, 3900,  39.775, 162.706,  45.196,  33.272, 134.819,  37.450, 94,  0,   2.322,  10.386,   2.885,   4.955,  20.936,   5.815,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:20:021, 170386391913244,    4.291,   28.000, 3900,  36.730, 166.553,  46.265,  30.034, 137.965,  38.323, 96,  0,   2.365,  10.634,   2.954,   4.984,  21.458,   5.960,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:20:128, 170386628779597,    4.398,   29.000, 3900,  37.252, 170.549,  47.375,  30.649, 141.253,  39.237, 90,  0,   2.421,  10.893,   3.026,   5.015,  21.996,   6.110,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:20:239, 170386873325751,    4.509,   29.000, 3900,  41.939, 175.194,  48.665,  35.138, 145.144,  40.318, 94,  0,   2.510,  11.171,   3.103,   5.046,  22.554,   6.265,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:20:347, 170387111898537,    4.617,   27.000, 3800,  32.689, 178.726,  49.646,  26.127, 147.967,  41.102, 94,  0,   2.307,  11.421,   3.172,   4.981,  23.093,   6.415,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:20:463, 170387368747720,    4.733,   35.000, 3700,  35.453, 182.850,  50.792,  28.767, 151.314,  42.032, 89,  0,   2.694,  11.734,   3.259,   5.069,  23.682,   6.578,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:20:572, 170387608149445,    4.842,   28.000, 3400,  34.490, 186.590,  51.830,  27.644, 154.311,  42.864, 95,  0,   2.374,  11.991,   3.331,   4.959,  24.220,   6.728,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:20:684, 170387856998201,    4.954,   32.000, 3700,  33.596, 190.376,  52.882,  27.215, 157.378,  43.716, 92,  0,   2.433,  12.266,   3.407,   5.065,  24.791,   6.886,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:20:805, 170388122929713,    5.075,   31.000, 3600,  33.881, 194.457,  54.016,  27.052, 160.636,  44.621, 96,  0,   2.429,  12.558,   3.488,   4.961,  25.388,   7.052,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:02:20:912, 170388360141171,    5.182,   30.000, 3900,  41.945, 198.963,  55.267,  35.726, 164.474,  45.687, 94,  0,   2.348,  12.810,   3.558,   4.909,  25.916,   7.199,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
