System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
05:59:41:510, 170036399146224,    0.108,   29.000, 3600,  30.647,   3.301,   0.917,  24.172,   2.604,   0.723, 92,  0,   2.084,   0.224,   0.062,   4.878,   0.525,   0.146,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:41:697, 170036811997891,    0.295,   40.000, 3900,  40.070,  10.793,   2.998,  33.275,   8.825,   2.451, 91,  0,   2.572,   0.705,   0.196,   5.071,   1.474,   0.409,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:41:814, 170037069917268,    0.412,   27.000, 3300,  33.124,  14.662,   4.073,  26.816,  11.958,   3.322, 96,  0,   2.293,   0.973,   0.270,   4.950,   2.052,   0.570,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:41:929, 170037323471441,    0.526,   57.000, 3300,  39.410,  19.188,   5.330,  32.585,  15.700,   4.361, 96,  0,   2.931,   1.310,   0.364,   4.947,   2.620,   0.728,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:42:047, 170037584200309,    0.644,   26.000, 3900,  36.515,  23.500,   6.528,  30.149,  19.260,   5.350, 94,  0,   2.312,   1.583,   0.440,   4.941,   3.204,   0.890,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:42:172, 170037860176419,    0.769,   28.000, 3900,  38.711,  28.338,   7.872,  32.085,  23.270,   6.464, 91,  0,   2.362,   1.878,   0.522,   4.965,   3.824,   1.062,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:42:294, 170038130625635,    0.892,   31.000, 3800,  42.443,  33.537,   9.316,  35.649,  27.636,   7.677, 92,  0,   2.471,   2.181,   0.606,   4.932,   4.428,   1.230,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:42:411, 170038388339297,    1.009,   31.000, 2900,  38.267,  38.003,  10.557,  31.659,  31.332,   8.703, 96,  0,   2.437,   2.465,   0.685,   5.008,   5.013,   1.392,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:42:527, 170038644492135,    1.125,   29.000, 3700,  32.163,  41.735,  11.593,  25.398,  34.278,   9.522, 90,  0,   2.304,   2.732,   0.759,   5.033,   5.597,   1.555,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:42:635, 170038882782197,    1.233,   30.000, 3900,  40.273,  46.081,  12.800,  33.887,  37.935,  10.538, 95,  0,   2.331,   2.984,   0.829,   5.138,   6.151,   1.709,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:42:763, 170039165993571,    1.361,   33.000, 3800,  40.324,  51.253,  14.237,  33.348,  42.213,  11.726, 97,  0,   2.599,   3.317,   0.921,   5.052,   6.799,   1.889,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:42:880, 170039423330682,    1.477,   33.000, 3900,  33.688,  55.179,  15.328,  27.357,  45.401,  12.611, 92,  0,   2.347,   3.591,   0.997,   4.980,   7.380,   2.050,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:42:987, 170039660816524,    1.585,   26.000, 3800,  31.384,  58.555,  16.265,  24.655,  48.053,  13.348, 89,  0,   2.215,   3.829,   1.064,   4.933,   7.910,   2.197,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:43:103, 170039916184056,    1.701,   29.000, 3900,  35.669,  62.680,  17.411,  29.364,  51.449,  14.291, 91,  0,   2.297,   4.095,   1.137,   5.011,   8.490,   2.358,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:43:206, 170040143610347,    1.804,   30.000, 3900,  38.301,  66.625,  18.507,  31.668,  54.711,  15.197, 90,  0,   2.410,   4.343,   1.206,   5.024,   9.007,   2.502,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:43:330, 170040417092529,    1.927,   26.000, 3900,  36.814,  71.185,  19.774,  30.259,  58.459,  16.238, 91,  0,   2.228,   4.619,   1.283,   5.009,   9.628,   2.674,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:43:442, 170040665524687,    2.040,   27.000, 3900,  39.620,  75.643,  21.012,  32.898,  62.160,  17.267, 96,  0,   2.292,   4.877,   1.355,   4.927,  10.182,   2.828,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:43:568, 170040943978601,    2.166,   31.000, 3800,  34.064,  79.939,  22.205,  27.522,  65.631,  18.231, 95,  0,   2.311,   5.168,   1.436,   5.008,  10.813,   3.004,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:43:674, 170041176101286,    2.271,   27.000, 3900,  34.786,  83.596,  23.221,  28.440,  68.621,  19.061, 88,  0,   2.185,   5.398,   1.499,   4.934,  11.332,   3.148,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:43:784, 170041419073949,    2.381,   33.000, 3700,  43.497,  88.382,  24.551,  36.735,  72.663,  20.184, 94,  0,   2.690,   5.694,   1.582,   5.040,  11.887,   3.302,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:43:904, 170041684815975,    2.502,   36.000, 3100,  42.155,  93.456,  25.960,  35.388,  76.922,  21.367, 99,  0,   2.685,   6.017,   1.671,   5.001,  12.489,   3.469,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:44:030, 170041964160999,    2.628,   52.000, 3200,  36.867,  98.120,  27.256,  30.229,  80.747,  22.430, 95,  0,   2.608,   6.347,   1.763,   4.938,  13.113,   3.643,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:59:44:167, 170042266307941,    2.765,   35.000, 3600,  38.172, 103.344,  28.707,  31.277,  85.027,  23.619, 95,  0,   2.591,   6.701,   1.862,   5.104,  13.812,   3.837,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
