System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
06:04:49:071, 170715496874276,    0.101,   24.000, 3900,  37.727,   3.796,   1.054,  31.066,   3.126,   0.868, 94,  0,   2.205,   0.222,   0.062,   5.009,   0.504,   0.140,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:49:193, 170715764520361,    0.222,   29.000, 3600,  35.828,   8.139,   2.261,  29.152,   6.659,   1.850, 95,  0,   2.406,   0.513,   0.143,   5.100,   1.122,   0.312,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:49:300, 170716002495119,    0.330,   28.000, 3900,  34.619,  11.870,   3.297,  28.003,   9.677,   2.688, 94,  0,   2.354,   0.767,   0.213,   4.967,   1.658,   0.460,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:49:416, 170716258526130,    0.446,   26.000, 3900,  39.489,  16.449,   4.569,  32.883,  13.490,   3.747, 94,  0,   2.347,   1.039,   0.289,   4.955,   2.232,   0.620,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:49:541, 170716533656820,    0.570,   27.000, 3900,  38.018,  21.186,   5.885,  31.678,  17.438,   4.844, 95,  0,   2.284,   1.324,   0.368,   4.960,   2.850,   0.792,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:49:651, 170716775783073,    0.680,   30.000, 3900,  36.505,  25.189,   6.997,  29.719,  20.697,   5.749, 87,  0,   2.405,   1.588,   0.441,   5.029,   3.402,   0.945,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:49:762, 170717022440577,    0.792,   27.000, 3900,  38.514,  29.491,   8.192,  31.785,  24.247,   6.735, 97,  0,   2.375,   1.853,   0.515,   5.000,   3.960,   1.100,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:49:872, 170717265235787,    0.901,   45.000, 3200,  43.609,  34.287,   9.524,  36.943,  28.310,   7.864, 96,  0,   2.681,   2.148,   0.597,   4.925,   4.502,   1.250,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:50:025, 170717603389404,    1.055,   35.000, 3900,  34.406,  39.556,  10.988,  27.759,  32.561,   9.045, 95,  0,   2.596,   2.545,   0.707,   4.972,   5.263,   1.462,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:50:143, 170717862510192,    1.172,   28.000, 3700,  33.321,  43.466,  12.074,  26.927,  35.721,   9.922, 89,  0,   2.325,   2.818,   0.783,   4.948,   5.844,   1.623,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:50:259, 170718118025107,    1.288,   37.000, 3900,  42.467,  48.381,  13.439,  35.618,  39.842,  11.067, 94,  0,   2.689,   3.129,   0.869,   4.983,   6.420,   1.783,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:50:368, 170718359918377,    1.397,   30.000, 3000,  32.032,  51.890,  14.414,  25.200,  42.603,  11.834, 97,  0,   2.399,   3.392,   0.942,   5.034,   6.972,   1.937,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:50:477, 170718601234831,    1.507,   39.000, 3200,  40.137,  56.276,  15.632,  33.398,  46.253,  12.848, 95,  0,   2.839,   3.702,   1.028,   5.052,   7.524,   2.090,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:50:600, 170718872554851,    1.629,   31.000, 3100,  35.428,  60.630,  16.842,  28.614,  49.769,  13.825, 98,  0,   2.440,   4.002,   1.112,   5.093,   8.150,   2.264,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:50:707, 170719107573935,    1.736,   27.000, 3700,  32.190,  64.056,  17.793,  25.830,  52.519,  14.589, 95,  0,   2.287,   4.246,   1.179,   4.949,   8.677,   2.410,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:50:821, 170719360320505,    1.850,   28.000, 3900,  39.873,  68.620,  19.061,  33.049,  56.302,  15.639, 94,  0,   2.379,   4.518,   1.255,   5.041,   9.254,   2.570,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:50:934, 170719609276546,    1.963,   30.000, 3200,  40.724,  73.212,  20.337,  34.190,  60.157,  16.710, 95,  0,   2.477,   4.797,   1.333,   5.029,   9.821,   2.728,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:04:51:047, 170719859393447,    2.076,   26.000, 3800,  34.200,  77.086,  21.413,  27.671,  63.291,  17.581, 96,  0,   2.169,   5.043,   1.401,   4.883,  10.374,   2.882,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
