System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
05:57:05:783, 169692552496003,    0.106,   21.000, 3900,  31.872,   3.377,   0.938,  25.351,   2.686,   0.746, 92,  0,   2.027,   0.215,   0.060,   4.938,   0.523,   0.145,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:05:899, 169692808087916,    0.222,   28.000, 3900,  37.827,   7.756,   2.154,  31.113,   6.288,   1.747, 93,  0,   2.367,   0.489,   0.136,   5.056,   1.109,   0.308,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:06:019, 169693072954928,    0.342,   29.000, 3900,  39.824,  12.533,   3.481,  33.041,  10.251,   2.848, 86,  0,   2.442,   0.782,   0.217,   5.102,   1.721,   0.478,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:06:123, 169693304348136,    0.446,   22.000, 3500,  42.493,  16.987,   4.718,  36.215,  14.047,   3.902, 97,  0,   2.429,   1.036,   0.288,   4.962,   2.241,   0.622,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:06:390, 169693891893617,    0.713,   51.000, 3900,  39.467,  27.488,   7.636,  32.663,  22.738,   6.316, 93,  0,   2.452,   1.689,   0.469,   5.009,   3.574,   0.993,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:06:508, 169694153178826,    0.831,   27.000, 3300,  36.061,  31.756,   8.821,  29.631,  26.245,   7.290, 95,  0,   2.301,   1.961,   0.545,   4.947,   4.159,   1.155,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:06:624, 169694408515992,    0.947,   34.000, 3700,  37.772,  36.124,  10.034,  31.288,  29.863,   8.295, 94,  0,   2.516,   2.252,   0.626,   5.028,   4.740,   1.317,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:06:732, 169694648638878,    1.055,   27.000, 3900,  40.873,  40.569,  11.269,  34.287,  33.591,   9.331, 89,  0,   2.366,   2.509,   0.697,   5.005,   5.285,   1.468,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:06:848, 169694903798140,    1.171,   25.000, 3900,  36.938,  44.837,  12.455,  30.175,  37.078,  10.300, 93,  0,   2.267,   2.771,   0.770,   4.949,   5.857,   1.627,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:06:973, 169695181016350,    1.296,   39.000, 3100,  38.450,  49.665,  13.796,  31.868,  41.079,  11.411, 96,  0,   2.611,   3.099,   0.861,   4.948,   6.478,   1.799,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:07:089, 169695436846858,    1.412,   34.000, 3900,  44.693,  54.843,  15.234,  37.988,  45.481,  12.634, 96,  0,   2.717,   3.414,   0.948,   4.989,   7.056,   1.960,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:07:198, 169695675904807,    1.521,   63.000, 3900,  38.484,  59.010,  16.392,  31.418,  48.882,  13.578, 91,  0,   3.021,   3.741,   1.039,   4.945,   7.591,   2.109,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:07:302, 169695906115825,    1.625,   61.000, 3100,  38.655,  63.040,  17.511,  31.681,  52.186,  14.496, 95,  0,   3.174,   4.072,   1.131,   5.076,   8.120,   2.256,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:07:425, 169696178068641,    1.748,   29.000, 3800,  36.841,  67.578,  18.772,  30.268,  55.914,  15.532, 93,  0,   2.457,   4.374,   1.215,   5.017,   8.738,   2.427,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:07:540, 169696431239101,    1.863,   28.000, 3400,  33.720,  71.444,  19.846,  26.986,  59.008,  16.391, 95,  0,   2.360,   4.645,   1.290,   4.953,   9.306,   2.585,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:07:664, 169696705445051,    1.987,   36.000, 3400,  33.795,  75.641,  21.011,  27.069,  62.369,  17.325, 95,  0,   2.665,   4.976,   1.382,   5.059,   9.935,   2.760,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:57:07:781, 169696963609443,    2.104,   27.000, 3900,  35.619,  79.805,  22.168,  29.024,  65.763,  18.267, 91,  0,   2.375,   5.254,   1.459,   4.984,  10.517,   2.921,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
