System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:12:16:744, 179652787558826,    0.104,   14.000, 3900,  26.753,   2.788,   0.774,  20.567,   2.143,   0.595, 90,  0,   1.864,   0.194,   0.054,   4.876,   0.508,   0.141,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:16:857, 179653038197607,    0.218,   25.000, 3900,  40.019,   7.331,   2.036,  33.205,   5.912,   1.642, 94,  0,   2.914,   0.525,   0.146,   5.141,   1.092,   0.303,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:16:989, 179653328398997,    0.349,   28.000, 3900,  40.555,  12.661,   3.517,  33.561,  10.323,   2.868, 95,  0,   2.910,   0.907,   0.252,   4.997,   1.748,   0.486,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:17:099, 179653571017929,    0.459,   22.000, 3900,  36.146,  16.633,   4.620,  29.255,  13.538,   3.761, 92,  0,   2.674,   1.201,   0.334,   5.127,   2.312,   0.642,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:17:218, 179653835341442,    0.579,   22.000, 3900,  37.017,  21.064,   5.851,  30.483,  17.187,   4.774, 94,  0,   2.706,   1.525,   0.424,   4.989,   2.909,   0.808,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:17:329, 179654080400443,    0.690,   65.000, 2900,  42.918,  25.827,   7.174,  36.032,  21.186,   5.885, 95,  0,   3.318,   1.893,   0.526,   4.955,   3.459,   0.961,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:17:462, 179654374204603,    0.823,   69.000, 3000,  39.147,  31.036,   8.621,  31.944,  25.437,   7.066, 96,  0,   3.418,   2.348,   0.652,   4.950,   4.118,   1.144,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:17:628, 179654740347247,    0.989,   55.000, 3600,  39.468,  37.581,  10.439,  32.668,  30.854,   8.571, 94,  0,   3.303,   2.896,   0.804,   4.997,   4.946,   1.374,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:17:746, 179654999986030,    1.106,   31.000, 3900,  39.960,  42.280,  11.744,  33.059,  34.741,   9.650, 90,  0,   2.966,   3.245,   0.901,   5.032,   5.538,   1.538,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:17:854, 179655238095639,    1.214,   26.000, 3300,  38.597,  46.442,  12.901,  31.588,  38.148,  10.597, 97,  0,   2.850,   3.552,   0.987,   5.059,   6.084,   1.690,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:17:962, 179655476838724,    1.322,   27.000, 3900,  37.176,  50.462,  14.017,  30.492,  41.445,  11.512, 94,  0,   2.815,   3.856,   1.071,   5.028,   6.627,   1.841,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:18:071, 179655718420274,    1.432,   50.000, 2900,  42.076,  55.065,  15.296,  35.129,  45.288,  12.580, 96,  0,   3.174,   4.204,   1.168,   5.036,   7.178,   1.994,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:18:178, 179655954269955,    1.538,   40.000, 3900,  42.069,  59.559,  16.544,  35.028,  49.030,  13.619, 92,  0,   3.324,   4.559,   1.266,   5.025,   7.715,   2.143,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:18:297, 179656217019457,    1.657,   43.000, 3600,  40.818,  64.416,  17.893,  33.770,  53.048,  14.736, 95,  0,   3.349,   4.957,   1.377,   5.102,   8.322,   2.312,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:18:419, 179656485351822,    1.779,   49.000, 3700,  41.546,  69.465,  19.296,  34.249,  57.211,  15.892, 91,  0,   3.451,   5.377,   1.493,   5.048,   8.936,   2.482,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:18:524, 179656718385107,    1.884,   32.000, 3800,  42.828,  73.985,  20.551,  36.283,  61.040,  16.956, 95,  0,   3.066,   5.700,   1.583,   5.056,   9.469,   2.630,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:18:636, 179656966069884,    1.997,   39.000, 3400,  42.045,  78.702,  21.862,  34.813,  64.945,  18.040, 94,  0,   3.310,   6.072,   1.687,   5.041,  10.035,   2.787,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:18:759, 179657237755866,    2.120,   40.000, 3800,  39.058,  83.508,  23.197,  32.198,  68.907,  19.141, 92,  0,   3.152,   6.459,   1.794,   5.048,  10.656,   2.960,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:18:870, 179657481237602,    2.230,   30.000, 3900,  40.237,  87.945,  24.429,  33.096,  72.557,  20.155, 91,  0,   2.933,   6.783,   1.884,   5.059,  11.214,   3.115,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:19:007, 179657784495321,    2.367,   30.000, 3900,  36.804,  93.000,  25.833,  30.004,  76.677,  21.299, 93,  0,   2.943,   7.187,   1.996,   5.051,  11.908,   3.308,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:19:117, 179658027101588,    2.477,   21.000, 3900,  36.320,  96.990,  26.942,  29.572,  79.927,  22.202, 95,  0,   2.674,   7.481,   2.078,   5.021,  12.459,   3.461,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:19:220, 179658255803084,    2.581,   34.000, 3900,  41.516, 101.290,  28.136,  34.837,  83.535,  23.204, 93,  0,   3.212,   7.813,   2.170,   5.035,  12.981,   3.606,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:19:337, 179658514191974,    2.698,   34.000, 3600,  43.051, 106.328,  29.536,  35.572,  87.698,  24.361, 98,  0,   3.074,   8.173,   2.270,   5.184,  13.587,   3.774,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:19:445, 179658751715334,    2.805,   28.000, 3900,  39.360, 110.563,  30.712,  32.770,  91.223,  25.340, 92,  0,   2.865,   8.481,   2.356,   5.036,  14.129,   3.925,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:19:566, 179659019976241,    2.927,   21.000, 3900,  35.717, 114.902,  31.917,  28.754,  94.716,  26.310, 97,  0,   2.675,   8.806,   2.446,   5.013,  14.738,   4.094,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:12:19:681, 179659273134458,    3.042,   22.000, 3900,  36.492, 119.086,  33.079,  29.952,  98.151,  27.264, 89,  0,   2.684,   9.114,   2.532,   5.042,  15.316,   4.255,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
