System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:14:19:368, 179923543598219,    0.104,   27.000, 3900,  39.294,   4.083,   1.134,  32.695,   3.397,   0.944, 93,  0,   2.368,   0.246,   0.068,   5.056,   0.525,   0.146,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:14:19:474, 179923777189815,    0.210,   34.000, 3700,  43.852,   8.722,   2.423,  36.324,   7.240,   2.011, 95,  0,   3.099,   0.574,   0.159,   5.421,   1.099,   0.305,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:14:19:586, 179924024575267,    0.322,   26.000, 3900,  37.646,  12.940,   3.595,  30.930,  10.706,   2.974, 90,  0,   2.768,   0.884,   0.246,   5.006,   1.660,   0.461,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:14:19:695, 179924264259060,    0.430,   32.000, 3900,  40.327,  17.318,   4.811,  33.475,  14.339,   3.983, 90,  0,   2.992,   1.209,   0.336,   5.159,   2.220,   0.617,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:14:19:803, 179924502753781,    0.538,   24.000, 3900,  37.499,  21.368,   5.936,  30.713,  17.657,   4.905, 92,  0,   2.753,   1.506,   0.418,   5.029,   2.763,   0.768,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:14:19:911, 179924742497021,    0.647,   24.000, 3900,  38.578,  25.557,   7.099,  31.525,  21.080,   5.856, 93,  0,   2.840,   1.815,   0.504,   5.131,   3.320,   0.922,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:14:20:020, 179924981981302,    0.755,   22.000, 3700,  35.859,  29.446,   8.180,  29.194,  24.246,   6.735, 97,  0,   2.686,   2.106,   0.585,   5.063,   3.869,   1.075,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:14:20:126, 179925217355060,    0.862,   46.000, 2800,  41.880,  33.911,   9.420,  34.797,  27.956,   7.765, 98,  0,   3.119,   2.439,   0.677,   5.059,   4.409,   1.225,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:14:20:261, 179925514988405,    0.997,   37.000, 3900,  35.736,  38.728,  10.758,  28.773,  31.834,   8.843, 94,  0,   3.076,   2.853,   0.793,   4.987,   5.081,   1.411,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:14:20:370, 179925754467573,    1.105,   31.000, 3500,  42.985,  43.390,  12.053,  36.279,  35.769,   9.936, 97,  0,   2.900,   3.168,   0.880,   5.088,   5.633,   1.565,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:14:20:495, 179926030606671,    1.230,   45.000, 3300,  37.871,  48.126,  13.368,  30.973,  39.643,  11.012, 97,  0,   3.104,   3.556,   0.988,   5.008,   6.259,   1.739,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:14:20:603, 179926268880423,    1.338,   43.000, 3100,  40.313,  52.477,  14.577,  33.254,  43.231,  12.009, 97,  0,   3.266,   3.908,   1.086,   5.027,   6.802,   1.889,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
