System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:46:04:726, 160284108297150,    0.115,   39.000, 3400,  50.194,   5.790,   1.608,  31.520,   3.636,   1.010, 93,  0,   3.320,   0.383,   0.106,   6.513,   0.751,   0.209,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:04:849, 160284379228535,    0.238,   46.000, 3200,  49.013,  11.804,   3.279,  29.632,   7.272,   2.020, 93,  0,   3.657,   0.832,   0.231,   6.736,   1.578,   0.438,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:04:957, 160284616415710,    0.345,   44.000, 3200,  47.008,  16.853,   4.682,  28.027,  10.282,   2.856, 95,  0,   3.644,   1.223,   0.340,   6.701,   2.297,   0.638,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:05:079, 160284887994074,    0.468,   71.000, 3000,  50.813,  23.103,   6.418,  31.457,  14.152,   3.931, 96,  0,   3.975,   1.712,   0.476,   6.746,   3.127,   0.869,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:05:217, 160285192286439,    0.606,   81.000, 2600,  45.797,  29.415,   8.171,  26.624,  17.821,   4.950, 95,  0,   3.870,   2.245,   0.624,   6.489,   4.021,   1.117,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:05:401, 160285597902944,    0.790,   92.000, 2900,  45.825,  37.833,  10.509,  26.958,  22.773,   6.326, 92,  0,   3.800,   2.943,   0.818,   6.260,   5.171,   1.436,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:05:523, 160285867815725,    0.912,   81.000, 2800,  46.650,  43.536,  12.093,  27.519,  26.137,   7.260, 92,  0,   3.874,   3.417,   0.949,   6.658,   5.985,   1.663,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:05:649, 160286145699754,    1.038,   54.000, 2900,  41.955,  48.816,  13.560,  22.685,  28.992,   8.053, 89,  0,   3.606,   3.871,   1.075,   6.729,   6.832,   1.898,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:05:757, 160286384289821,    1.146,   41.000, 3000,  41.674,  53.319,  14.811,  22.292,  31.401,   8.722, 89,  0,   3.622,   4.262,   1.184,   6.927,   7.581,   2.106,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:05:879, 160286654121302,    1.268,   50.000, 3000,  44.133,  58.712,  16.309,  24.691,  34.418,   9.561, 91,  0,   3.717,   4.716,   1.310,   6.993,   8.435,   2.343,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:06:001, 160286922665233,    1.390,   49.000, 3100,  44.904,  64.174,  17.826,  25.290,  37.494,  10.415, 90,  0,   3.788,   5.177,   1.438,   6.945,   9.280,   2.578,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:06:124, 160287193119896,    1.512,   66.000, 3000,  46.582,  69.879,  19.411,  27.371,  40.846,  11.346, 90,  0,   3.937,   5.659,   1.572,   6.779,  10.110,   2.808,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:06:233, 160287435996479,    1.622,   46.000, 3000,  44.077,  74.728,  20.758,  24.952,  43.591,  12.109, 89,  0,   3.742,   6.071,   1.686,   6.577,  10.834,   3.009,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:06:372, 160287741153017,    1.761,   59.000, 3000,  45.210,  80.976,  22.493,  25.876,  47.167,  13.102, 90,  0,   3.745,   6.588,   1.830,   6.814,  11.775,   3.271,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:06:494, 160288011459664,    1.883,   42.000, 3100,  42.712,  86.205,  23.946,  23.369,  50.028,  13.897, 89,  0,   3.557,   7.024,   1.951,   6.752,  12.602,   3.501,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:06:602, 160288250652884,    1.991,   44.000, 3100,  44.561,  91.032,  25.287,  25.498,  52.790,  14.664, 89,  0,   3.597,   7.414,   2.059,   6.720,  13.330,   3.703,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:06:711, 160288490641125,    2.100,   41.000, 3100,  44.276,  95.844,  26.623,  24.908,  55.497,  15.416, 89,  0,   3.612,   7.806,   2.168,   6.789,  14.068,   3.908,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:06:820, 160288730131832,    2.209,   46.000, 3100,  44.828, 100.707,  27.974,  25.930,  58.310,  16.197, 90,  0,   3.564,   8.193,   2.276,   6.622,  14.786,   4.107,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:06:927, 160288967745892,    2.316,   52.000, 3100,  46.672, 105.729,  29.369,  27.203,  61.237,  17.010, 89,  0,   3.891,   8.611,   2.392,   6.716,  15.509,   4.308,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:07:051, 160289240654408,    2.440,   66.000, 3000,  47.558, 111.607,  31.002,  28.285,  64.733,  17.981, 94,  0,   3.815,   9.083,   2.523,   6.594,  16.324,   4.534,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:07:159, 160289478876655,    2.548,   41.000, 3000,  42.292, 116.170,  32.270,  23.205,  67.237,  18.677, 89,  0,   3.523,   9.463,   2.629,   6.619,  17.038,   4.733,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:07:267, 160289719419580,    2.657,   49.000, 3100,  44.514, 121.020,  33.617,  25.674,  70.034,  19.454, 92,  0,   3.637,   9.859,   2.739,   6.748,  17.773,   4.937,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:07:396, 160290003603700,    2.785,   79.000, 2900,  49.879, 127.439,  35.400,  30.414,  73.948,  20.541, 95,  0,   4.066,  10.383,   2.884,   6.713,  18.637,   5.177,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:07:560, 160290363859779,    2.948,   80.000, 2800,  46.200, 134.977,  37.494,  26.983,  78.351,  21.764, 90,  0,   3.919,  11.022,   3.062,   6.645,  19.721,   5.478,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:07:700, 160290674087894,    3.089,   60.000, 2900,  43.763, 141.126,  39.202,  24.360,  81.773,  22.715, 89,  0,   3.722,  11.545,   3.207,   6.736,  20.667,   5.741,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:07:840, 160290983654172,    3.229,   54.000, 3000,  42.189, 147.041,  40.845,  22.887,  84.982,  23.606, 88,  0,   3.664,  12.059,   3.350,   6.885,  21.633,   6.009,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:07:961, 160291250747639,    3.350,   45.000, 3000,  43.123, 152.257,  42.294,  23.684,  87.847,  24.402, 89,  0,   3.653,  12.500,   3.472,   6.924,  22.470,   6.242,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:08:085, 160291523966463,    3.474,   52.000, 3000,  45.259, 157.858,  43.849,  25.581,  91.013,  25.281, 90,  0,   3.873,  12.980,   3.605,   6.994,  23.336,   6.482,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:08:207, 160291793505211,    3.596,   56.000, 3000,  44.607, 163.303,  45.362,  25.253,  94.095,  26.138, 89,  0,   3.781,  13.441,   3.734,   6.824,  24.169,   6.714,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:08:330, 160292065756389,    3.719,   43.000, 3100,  43.629, 168.683,  46.856,  24.419,  97.106,  26.974, 88,  0,   3.583,  13.883,   3.856,   6.834,  25.011,   6.948,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:08:454, 160292337629369,    3.842,   46.000, 3100,  45.605, 174.298,  48.416,  26.195, 100.332,  27.870, 90,  0,   3.724,  14.342,   3.984,   6.979,  25.871,   7.186,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:08:578, 160292611668590,    3.967,   43.000, 3100,  44.212, 179.785,  49.940,  24.859, 103.417,  28.727, 89,  0,   3.619,  14.791,   4.109,   6.896,  26.727,   7.424,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:08:704, 160292891485910,    4.093,   45.000, 3100,  45.307, 185.527,  51.535,  25.690, 106.673,  29.631, 90,  0,   3.737,  15.264,   4.240,   7.016,  27.616,   7.671,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:08:829, 160293165600157,    4.217,   46.000, 3100,  43.833, 190.969,  53.047,  24.464, 109.710,  30.475, 89,  0,   3.587,  15.710,   4.364,   6.871,  28.469,   7.908,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:08:936, 160293404301197,    4.325,   44.000, 3100,  44.741, 195.805,  54.390,  25.318, 112.447,  31.235, 92,  0,   3.663,  16.106,   4.474,   7.083,  29.235,   8.121,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:09:059, 160293673827041,    4.448,   48.000, 3100,  45.040, 201.303,  55.918,  25.606, 115.572,  32.103, 90,  0,   3.681,  16.555,   4.599,   6.922,  30.080,   8.355,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:09:167, 160293913652003,    4.556,   44.000, 3100,  44.955, 206.186,  57.274,  25.312, 118.322,  32.867, 90,  0,   3.702,  16.957,   4.710,   6.964,  30.836,   8.566,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:09:292, 160294190820331,    4.682,   71.000, 3000,  48.830, 212.316,  58.977,  29.195, 121.987,  33.885, 96,  0,   3.905,  17.447,   4.846,   6.882,  31.700,   8.805,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:09:414, 160294459127794,    4.803,   46.000, 3000,  43.529, 217.605,  60.446,  24.819, 125.002,  34.723, 89,  0,   3.552,  17.879,   4.966,   6.460,  32.485,   9.024,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:09:537, 160294730927647,    4.926,   46.000, 3100,  43.418, 222.950,  61.931,  23.973, 127.953,  35.543, 88,  0,   3.685,  18.333,   5.092,   6.977,  33.344,   9.262,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:46:09:646, 160294971505393,    5.035,   44.000, 3100,  44.792, 227.830,  63.286,  25.663, 130.750,  36.319, 88,  0,   3.568,  18.721,   5.200,   6.604,  34.063,   9.462,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
