System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:35:31:677, 158886329618738,    0.112,   62.000, 3000,  46.672,   5.237,   1.455,  28.052,   3.148,   0.874, 94,  0,   3.512,   0.394,   0.109,   6.339,   0.711,   0.198,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:35:31:801, 158886603740303,    0.236,   71.000, 2900,  45.672,  10.907,   3.030,  26.561,   6.445,   1.790, 91,  0,   3.784,   0.864,   0.240,   6.590,   1.529,   0.425,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:35:31:926, 158886880852899,    0.362,   66.000, 2900,  43.492,  16.365,   4.546,  24.756,   9.552,   2.653, 90,  0,   3.258,   1.273,   0.354,   6.276,   2.317,   0.644,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:35:32:035, 158887120743519,    0.471,   69.000, 2900,  46.146,  21.379,   5.939,  26.921,  12.477,   3.466, 90,  0,   3.695,   1.674,   0.465,   6.584,   3.033,   0.842,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:35:32:158, 158887393218969,    0.594,   69.000, 2900,  44.267,  26.842,   7.456,  25.321,  15.602,   4.334, 90,  0,   3.656,   2.125,   0.590,   6.611,   3.848,   1.069,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:35:32:284, 158887669427489,    0.719,   44.000, 3100,  40.709,  31.934,   8.871,  21.604,  18.304,   5.084, 88,  0,   3.375,   2.547,   0.708,   6.692,   4.685,   1.302,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:35:32:284, 158887670720405,    0.720,   34.000, 3100,  58.475,  31.968,   8.880,  21.889,  18.317,   5.088, 87,  0,   2.710,   2.549,   0.708,   5.733,   4.689,   1.302,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.719588
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 31.968323
Cumulative Processor Energy_0 (mWh) = 8.880090
Average Processor Power_0 (Watt) = 44.425879

Cumulative IA Energy_0 (Joules) = 18.316895
Cumulative IA Energy_0 (mWh) = 5.088026
Average IA Power_0 (Watt) = 25.454702

Cumulative DRAM Energy_0 (Joules) = 2.549011
Cumulative DRAM Energy_0 (mWh) = 0.708059
Average DRAM Power_0 (Watt) = 3.542321

Cumulative GT Energy_0 (Joules) = 4.688843
Cumulative GT Energy_0 (mWh) = 1.302456
Average GT Power_0 (Watt) = 6.516012
