System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:35:28:880, 158880155381866,    0.116,   84.000, 2900,  50.255,   5.851,   1.625,  31.454,   3.662,   1.017, 95,  0,   3.924,   0.457,   0.127,   6.401,   0.745,   0.207,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:35:29:002, 158880422978109,    0.238,   84.000, 2900,  46.839,  11.527,   3.202,  27.980,   7.053,   1.959, 94,  0,   3.735,   0.909,   0.253,   6.417,   1.523,   0.423,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:35:29:123, 158880692389194,    0.360,   78.000, 2800,  45.204,  17.043,   4.734,  26.074,  10.234,   2.843, 92,  0,   3.827,   1.376,   0.382,   6.582,   2.326,   0.646,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:35:29:247, 158880965839706,    0.483,   84.000, 2800,  45.501,  22.678,   6.299,  26.530,  13.520,   3.756, 92,  0,   3.846,   1.853,   0.515,   6.342,   3.111,   0.864,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:35:29:372, 158881240429573,    0.608,   69.000, 2800,  43.346,  28.069,   7.797,  24.707,  16.593,   4.609, 91,  0,   3.469,   2.284,   0.634,   6.333,   3.899,   1.083,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:35:29:481, 158881481044215,    0.717,   63.000, 2900,  43.171,  32.773,   9.104,  24.239,  19.234,   5.343, 88,  0,   3.504,   2.666,   0.741,   6.496,   4.607,   1.280,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:35:29:484, 158881489159149,    0.720,   18.000, 2900,  38.645,  32.915,   9.143,  15.395,  19.291,   5.358, 88,  0,   3.421,   2.679,   0.744,   7.208,   4.633,   1.287,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.720486
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 32.915100
Cumulative Processor Energy_0 (mWh) = 9.143083
Average Processor Power_0 (Watt) = 45.684602

Cumulative IA Energy_0 (Joules) = 19.290588
Cumulative IA Energy_0 (mWh) = 5.358497
Average IA Power_0 (Watt) = 26.774424

Cumulative DRAM Energy_0 (Joules) = 2.678528
Cumulative DRAM Energy_0 (mWh) = 0.744036
Average DRAM Power_0 (Watt) = 3.717670

Cumulative GT Energy_0 (Joules) = 4.633423
Cumulative GT Energy_0 (mWh) = 1.287062
Average GT Power_0 (Watt) = 6.430972
