System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:04:756, 160814095013972,    0.135,   57.000, 3100,  42.889,   5.770,   1.603,  24.690,   3.321,   0.923, 89,  0,   3.170,   0.426,   0.118,   6.028,   0.811,   0.225,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:04:864, 160814334069452,    0.243,   28.000, 3300,  39.354,  10.030,   2.786,  21.112,   5.607,   1.558, 88,  0,   2.681,   0.717,   0.199,   5.942,   1.454,   0.404,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:04:972, 160814571756616,    0.350,   35.000, 3300,  43.089,  14.669,   4.075,  25.094,   8.308,   2.308, 88,  0,   2.904,   1.029,   0.286,   6.004,   2.101,   0.583,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:05:080, 160814811152861,    0.459,   19.000, 3600,  37.671,  18.753,   5.209,  20.084,  10.486,   2.913, 87,  0,   2.033,   1.250,   0.347,   5.607,   2.708,   0.752,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:05:233, 160815149872792,    0.612,   39.000, 3100,  50.409,  26.486,   7.357,  32.545,  15.479,   4.300, 99,  0,   2.843,   1.686,   0.468,   5.885,   3.611,   1.003,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:05:357, 160815422907995,    0.736,   33.000, 3900,  50.260,  32.701,   9.084,  31.948,  19.429,   5.397, 91,  0,   2.960,   2.052,   0.570,   5.986,   4.352,   1.209,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:05:495, 160815727692402,    0.874,   24.000, 3900,  44.623,  38.861,  10.795,  27.015,  23.158,   6.433, 94,  0,   2.090,   2.340,   0.650,   5.692,   5.137,   1.427,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:05:619, 160816001569111,    0.998,   17.000, 3900,  42.937,  44.187,  12.274,  25.504,  26.322,   7.312, 94,  0,   2.031,   2.592,   0.720,   5.532,   5.823,   1.618,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:05:648, 160816066268479,    1.027,   11.000, 3700,  40.266,  45.367,  12.602,  23.210,  27.002,   7.501, 97,  0,   2.420,   2.663,   0.740,   5.428,   5.983,   1.662,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.027300
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 45.366699
Cumulative Processor Energy_0 (mWh) = 12.601861
Average Processor Power_0 (Watt) = 44.161114

Cumulative IA Energy_0 (Joules) = 27.001831
Cumulative IA Energy_0 (mWh) = 7.500509
Average IA Power_0 (Watt) = 26.284278

Cumulative DRAM Energy_0 (Joules) = 2.663147
Cumulative DRAM Energy_0 (mWh) = 0.739763
Average DRAM Power_0 (Watt) = 2.592376

Cumulative GT Energy_0 (Joules) = 5.982544
Cumulative GT Energy_0 (mWh) = 1.661818
Average GT Power_0 (Watt) = 5.823562
