System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:30:36:960, 158235594047428,    0.143,   82.000, 2900,  45.057,   6.457,   1.794,  26.257,   3.763,   1.045, 91,  0,   3.634,   0.521,   0.145,   6.400,   0.917,   0.255,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:37:083, 158235863580386,    0.265,   74.000, 2900,  44.196,  11.852,   3.292,  25.146,   6.832,   1.898, 90,  0,   3.671,   0.969,   0.269,   6.615,   1.725,   0.479,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:37:192, 158236104951476,    0.375,   72.000, 3200,  46.250,  16.908,   4.697,  27.258,   9.812,   2.726, 94,  0,   3.676,   1.371,   0.381,   6.632,   2.450,   0.680,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:37:300, 158236343161796,    0.483,   70.000, 2800,  46.689,  21.945,   6.096,  27.428,  12.771,   3.548, 95,  0,   3.755,   1.776,   0.493,   6.625,   3.164,   0.879,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:37:423, 158236615047055,    0.606,   79.000, 2800,  44.487,  27.423,   7.617,  25.509,  15.912,   4.420, 91,  0,   3.721,   2.234,   0.621,   6.492,   3.964,   1.101,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:37:547, 158236890230212,    0.730,   78.000, 2800,  44.035,  32.911,   9.142,  24.843,  19.008,   5.280, 91,  0,   3.675,   2.692,   0.748,   6.610,   4.788,   1.330,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:37:655, 158237128534380,    0.838,   68.000, 2900,  43.081,  37.560,  10.433,  24.159,  21.616,   6.004, 90,  0,   3.510,   3.071,   0.853,   6.480,   5.487,   1.524,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:37:763, 158237366556756,    0.946,   42.000, 3100,  39.235,  41.790,  11.608,  20.472,  23.823,   6.617, 87,  0,   3.073,   3.402,   0.945,   6.377,   6.174,   1.715,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:30:37:763, 158237368183301,    0.947,   27.000, 3100,  47.807,  41.825,  11.618,  20.962,  23.838,   6.622, 87,  0,   2.734,   3.404,   0.946,   5.137,   6.178,   1.716,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.946802
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 41.825134
Cumulative Processor Energy_0 (mWh) = 11.618093
Average Processor Power_0 (Watt) = 44.175165

Cumulative IA Energy_0 (Joules) = 23.838074
Cumulative IA Energy_0 (mWh) = 6.621687
Average IA Power_0 (Watt) = 25.177465

Cumulative DRAM Energy_0 (Joules) = 3.404114
Cumulative DRAM Energy_0 (mWh) = 0.945587
Average DRAM Power_0 (Watt) = 3.595381

Cumulative GT Energy_0 (Joules) = 6.178162
Cumulative GT Energy_0 (mWh) = 1.716156
Average GT Power_0 (Watt) = 6.525294
