System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
06:57:23:728, 177681002895943,    0.106,   21.000, 3900,  34.069,   3.618,   1.005,  27.702,   2.942,   0.817, 95,  0,   2.193,   0.233,   0.065,   4.947,   0.525,   0.146,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:57:23:837, 177681243084711,    0.215,   23.000, 3200,  34.421,   7.362,   2.045,  27.509,   5.934,   1.648, 98,  0,   2.357,   0.489,   0.136,   5.072,   1.077,   0.299,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:57:23:962, 177681517815990,    0.339,   29.000, 3900,  40.758,  12.433,   3.454,  33.843,  10.145,   2.818, 93,  0,   2.615,   0.815,   0.226,   5.058,   1.706,   0.474,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:57:24:072, 177681761331455,    0.450,   26.000, 3900,  39.712,  16.813,   4.670,  33.109,  13.797,   3.832, 88,  0,   2.603,   1.102,   0.306,   5.001,   2.258,   0.627,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:57:24:205, 177682054322126,    0.582,   63.000, 3700,  45.318,  22.827,   6.341,  38.215,  18.867,   5.241, 97,  0,   3.221,   1.529,   0.425,   5.087,   2.933,   0.815,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:57:24:329, 177682327957714,    0.706,   25.000, 3900,  30.547,  26.612,   7.392,  23.931,  21.833,   6.065, 87,  0,   2.365,   1.822,   0.506,   4.969,   3.549,   0.986,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:57:24:445, 177682585709497,    0.823,   22.000, 3900,  33.945,  30.575,   8.493,  27.636,  25.059,   6.961, 89,  0,   2.323,   2.093,   0.581,   4.963,   4.128,   1.147,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:57:24:580, 177682883094670,    0.958,   28.000, 3900,  35.101,  35.302,   9.806,  28.457,  28.892,   8.026, 87,  0,   2.402,   2.417,   0.671,   4.966,   4.797,   1.333,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:57:24:687, 177683119290101,    1.065,   24.000, 3900,  36.883,  39.248,  10.902,  30.304,  32.134,   8.926, 90,  0,   2.343,   2.667,   0.741,   4.927,   5.324,   1.479,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:57:24:794, 177683355887433,    1.172,   22.000, 3900,  34.077,  42.899,  11.916,  27.407,  35.070,   9.742, 89,  0,   2.356,   2.920,   0.811,   4.957,   5.855,   1.627,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
