System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
06:45:05:384, 176050733389813,    0.109,   17.000, 3900,  29.891,   3.243,   0.901,  23.468,   2.546,   0.707, 88,  0,   1.925,   0.209,   0.058,   4.838,   0.525,   0.146,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:05:494, 176050976759936,    0.219,   45.000, 3400,  43.110,   7.995,   2.221,  36.392,   6.558,   1.822, 92,  0,   2.903,   0.529,   0.147,   4.951,   1.071,   0.297,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:05:623, 176051260204221,    0.347,   62.000, 2900,  39.528,  13.069,   3.630,  32.878,  10.778,   2.994, 94,  0,   2.936,   0.906,   0.252,   5.003,   1.713,   0.476,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:05:790, 176051629175425,    0.514,   70.000, 3000,  38.683,  19.533,   5.426,  31.828,  16.097,   4.471, 92,  0,   2.946,   1.398,   0.388,   4.842,   2.522,   0.701,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:05:915, 176051905808449,    0.639,   23.000, 3900,  30.864,  23.400,   6.500,  24.508,  19.168,   5.324, 86,  0,   2.194,   1.673,   0.465,   4.899,   3.136,   0.871,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:06:024, 176052145065712,    0.748,   24.000, 3700,  39.512,  27.682,   7.689,  33.055,  22.749,   6.319, 98,  0,   2.317,   1.924,   0.534,   5.001,   3.678,   1.022,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:06:132, 176052384364725,    0.856,   21.000, 3900,  36.705,  31.660,   8.794,  29.969,  25.997,   7.221, 92,  0,   2.270,   2.170,   0.603,   4.908,   4.210,   1.169,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:06:251, 176052648495291,    0.976,   19.000, 3900,  35.087,  35.857,   9.960,  28.792,  29.442,   8.178, 86,  0,   2.147,   2.427,   0.674,   4.882,   4.794,   1.332,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:06:377, 176052925449259,    1.101,   19.000, 3900,  33.815,  40.098,  11.138,  27.417,  32.880,   9.133, 91,  0,   2.072,   2.687,   0.746,   4.810,   5.397,   1.499,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:06:486, 176053166887785,    1.211,   34.000, 3600,  42.170,  44.709,  12.419,  35.050,  36.713,  10.198, 93,  0,   2.760,   2.988,   0.830,   5.467,   5.995,   1.665,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:06:598, 176053413607290,    1.322,   52.000, 3600,  48.384,  50.116,  13.921,  40.571,  41.247,  11.457, 93,  0,   3.383,   3.366,   0.935,   5.678,   6.629,   1.841,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:06:714, 176053670501313,    1.439,   44.000, 3200,  40.569,  54.836,  15.232,  33.075,  45.095,  12.526, 95,  0,   3.077,   3.724,   1.035,   5.579,   7.278,   2.022,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:06:840, 176053947606476,    1.564,   30.000, 3900,  34.359,  59.148,  16.430,  27.709,  48.572,  13.492, 90,  0,   2.379,   4.023,   1.117,   4.959,   7.901,   2.195,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:06:977, 176054250461127,    1.701,   44.000, 3200,  44.784,  65.290,  18.136,  38.022,  53.787,  14.941, 97,  0,   2.792,   4.406,   1.224,   5.029,   8.590,   2.386,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:07:093, 176054506763085,    1.817,   60.000, 3400,  40.952,  70.044,  19.457,  33.276,  57.650,  16.014, 94,  0,   3.426,   4.803,   1.334,   5.659,   9.247,   2.569,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:07:198, 176054739061450,    1.923,   31.000, 3700,  32.992,  73.515,  20.421,  26.184,  60.405,  16.779, 88,  0,   2.535,   5.070,   1.408,   5.216,   9.796,   2.721,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:07:315, 176054996757225,    2.039,   25.000, 3900,  31.037,  77.137,  21.427,  24.470,  63.260,  17.572, 87,  0,   2.279,   5.336,   1.482,   4.883,  10.366,   2.879,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:07:423, 176055235645350,    2.148,   22.000, 3900,  34.288,  80.847,  22.457,  27.946,  66.284,  18.412, 87,  0,   2.171,   5.571,   1.548,   4.847,  10.890,   3.025,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:07:534, 176055481216203,    2.259,   35.000, 3700,  41.920,  85.509,  23.753,  34.839,  70.159,  19.489, 94,  0,   2.847,   5.888,   1.635,   5.383,  11.489,   3.191,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:07:658, 176055754085171,    2.382,   45.000, 3300,  39.842,  90.433,  25.120,  32.486,  74.173,  20.604, 97,  0,   3.066,   6.267,   1.741,   5.293,  12.143,   3.373,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:07:776, 176056014615731,    2.500,   46.000, 3900,  41.558,  95.337,  26.482,  34.214,  78.211,  21.725, 93,  0,   2.954,   6.615,   1.838,   5.440,  12.785,   3.551,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:07:889, 176056265155947,    2.614,   34.000, 3100,  36.384,  99.465,  27.629,  29.168,  81.520,  22.644, 92,  0,   2.773,   6.930,   1.925,   5.518,  13.411,   3.725,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:08:007, 176056523732319,    2.731,   48.000, 3300,  39.212, 104.057,  28.905,  32.563,  85.334,  23.704, 92,  0,   2.645,   7.240,   2.011,   5.059,  14.004,   3.890,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:08:123, 176056781026475,    2.847,   32.000, 3400,  36.638, 108.326,  30.091,  29.839,  88.811,  24.670, 89,  0,   2.599,   7.542,   2.095,   4.962,  14.582,   4.051,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:45:08:240, 176057038374476,    2.964,   23.000, 3900,  32.055, 112.062,  31.128,  25.615,  91.796,  25.499, 92,  0,   2.232,   7.803,   2.167,   5.007,  15.166,   4.213,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
