System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:21:471, 158731314320378,    0.108,   60.000, 3000,  46.358,   5.006,   1.391,  27.414,   2.961,   0.822, 90,  0,   3.585,   0.387,   0.108,   6.503,   0.702,   0.195,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:21:594, 158731586911069,    0.231,   51.000, 3000,  44.162,  10.459,   2.905,  24.700,   6.010,   1.669, 90,  0,   3.647,   0.837,   0.233,   7.058,   1.574,   0.437,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:21:702, 158731824199715,    0.339,   52.000, 3000,  44.566,  15.248,   4.236,  24.927,   8.689,   2.414, 90,  0,   3.750,   1.240,   0.345,   6.959,   2.321,   0.645,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:21:812, 158732066632697,    0.449,   77.000, 2900,  48.102,  20.529,   5.703,  28.899,  11.862,   3.295, 91,  0,   3.845,   1.663,   0.462,   6.558,   3.042,   0.845,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:21:934, 158732336376618,    0.571,   51.000, 3000,  42.591,  25.733,   7.148,  23.417,  14.723,   4.090, 89,  0,   3.623,   2.105,   0.585,   6.749,   3.866,   1.074,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:22:055, 158732605696731,    0.693,   54.000, 3000,  44.278,  31.133,   8.648,  24.759,  17.743,   4.928, 89,  0,   3.746,   2.562,   0.712,   6.999,   4.720,   1.311,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:22:164, 158732844651852,    0.801,   53.000, 3000,  44.263,  35.924,   9.979,  25.105,  20.459,   5.683, 90,  0,   3.664,   2.958,   0.822,   6.749,   5.450,   1.514,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:22:287, 158733115829102,    0.924,   54.000, 3000,  44.552,  41.395,  11.499,  25.000,  23.530,   6.536, 89,  0,   3.733,   3.417,   0.949,   6.983,   6.308,   1.752,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:22:394, 158733353505246,    1.032,   52.000, 3000,  44.188,  46.152,  12.820,  24.461,  26.163,   7.267, 90,  0,   3.752,   3.821,   1.061,   7.024,   7.064,   1.962,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:22:503, 158733592885662,    1.140,   55.000, 3000,  45.806,  51.118,  14.199,  26.584,  29.045,   8.068, 90,  0,   3.764,   4.229,   1.175,   6.842,   7.806,   2.168,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:22:627, 158733867304473,    1.264,   48.000, 3000,  43.849,  56.567,  15.713,  24.500,  32.090,   8.914, 90,  0,   3.687,   4.687,   1.302,   6.935,   8.667,   2.408,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:22:637, 158733891420693,    1.275,   65.000, 3000,  44.588,  57.054,  15.848,  24.605,  32.359,   8.989, 90,  0,   3.951,   4.730,   1.314,   7.242,   8.747,   2.430,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.275158
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 57.054382
Cumulative Processor Energy_0 (mWh) = 15.848440
Average Processor Power_0 (Watt) = 44.743006

Cumulative IA Energy_0 (Joules) = 32.358765
Cumulative IA Energy_0 (mWh) = 8.988546
Average IA Power_0 (Watt) = 25.376288

Cumulative DRAM Energy_0 (Joules) = 4.730225
Cumulative DRAM Energy_0 (mWh) = 1.313951
Average DRAM Power_0 (Watt) = 3.709522

Cumulative GT Energy_0 (Joules) = 8.746582
Cumulative GT Energy_0 (mWh) = 2.429606
Average GT Power_0 (Watt) = 6.859217
